,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,
13,14,Buy loss,31.429,6,30.686,2012-02-07 17:00:00-05:00,31.399,31.399,14,30.768,30.768,6,6310,30.686,39,-0.743,-120,6,31.877,0,31.877,Buy,loss,-1.177496038,-120,-0.024030531,0.001293575,loss,0,0,71.42857143,91,0.4,
14,15,Sell loss,30.686,19,31.083,2012-05-08 17:00:00-04:00,31.399,31.026,53,30.768,30.504,45,6310,31.083,65,-0.397,-65,19,30.51,65,30.321,Sell,loss,-0.629160063,-65,-0.012840001,0.000351337,loss,25,0,66.66666667,26,-0.081632653,
15,16,Buy win,31.083,19,31.284,2012-05-08 17:00:00-04:00,31.399,31.026,53,30.768,30.768,45,6310,30.973,0,-0.11,-15,19,31.284,3,0,Buy,win,0.318541997,30,0.006500857,0.000735682,swap_TP,0,20,68.75,56,0.081632653,
16,17,Buy loss,31.854,27,31.35,2012-07-02 17:00:00-04:00,31.833,31.833,21,31.351,31.351,16,4820,31.35,3,-0.504,-105,27,32.315,0,0,Buy,loss,-1.045643154,-105,-0.021339656,-0.000562867,loss,3,3,64.70588235,-49,0.135135135,
17,18,Sell win,31.35,27,30.869,2012-07-02 17:00:00-04:00,31.833,31.833,24,31.351,31.351,19,4820,31.814,7,-0.464,-95,37,30.869,53,0,Sell,win,0.997925311,100,0.020365823,0.000599838,normal,5,3,66.66666667,51,-0.11627907,
18,19,Sell win,30.737,45,30.521,2012-11-05 17:00:00-05:00,31.017,31.017,29,30.769,30.769,37,2480,30.82,0,-0.083,-35,1,30.521,39,0,Sell,win,0.870967742,85,0.017774852,0.001503786,normal,0,24,68.42105263,136,0.121212121,
19,20,Buy win,31.417,33,31.89,2013-08-18 17:00:00-04:00,31.41,31.41,30,30.93,30.93,20,4800,31.264,0,-0.153,-30,34,31.89,2,0,Buy,win,0.985416667,100,0.020110544,0.002434124,normal,4,0,70,236,0.2,70%
20,21,Buy win,32.334,51,32.484,2013-12-17 17:00:00-05:00,32.296,32.296,74,31.017,32.108,44,12790,32.094,63,-0.24,-20,13,32.484,67,33.076,Buy,win,0.117279124,10,0.002393452,0.002432187,swap_TP,3,2,71.42857143,246,0.254237288,75%
21,22,Buy win,32.248,37,32.659,2014-09-11 17:00:00-04:00,32.246,32.246,26,31.763,31.833,38,4830,32.154,6,-0.094,-20,40,32.659,16,0,Buy,win,0.850931677,85,0.017365953,0.003110994,swap_TP,0,0,72.72727273,331,-0.1875,80%
22,23,Buy win,32.71,44,33.036,2014-11-02 17:00:00-05:00,32.644,32.644,21,32.252,32.252,9,3920,32.577,0,-0.133,-35,49,33.036,25,0,Buy,win,0.831632653,85,0.016972095,0.003713651,normal,0,0,73.91304348,416,0.4,80%
23,24,Buy win,33.027,18,33.494,2015-04-29 17:00:00-04:00,32.923,32.923,32,32.352,32.352,9,5710,32.761,0,-0.266,-45,19,33.494,5,0,Buy,win,0.817863398,80,0.01669109,0.004254378,normal,0,0,75,496,0.56097561,80%
