,time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
14,2015-05-20T16:00:00+07:00,1.35813,1.36212,1.35575,1.35959,1.356126412,1.357967259,1.360111316,1.362352835,1.364274677,1.374222964,3,1,1.36696,11,1.3805,22,1.35959,21,1.35497,Buy,15,22,Buy,loss,-0.007369999999999877,-0.5391525721308507,Buyloss
15,2015-05-29T00:00:00+07:00,1.36214,1.36337,1.35927,1.36123,1.355731047,1.356401331,1.356895004,1.357063746,1.357026353,1.354260172,3,2,1.35959,24,1.34316,39,1.36123,37,1.36729,Sell,16,39,Sell,loss,-0.0016399999999998638,-0.12062460006324434,Sellloss
16,2015-06-11T20:00:00+07:00,1.38394,1.3852,1.37931,1.38504,1.379438258,1.381834158,1.384378186,1.386896496,1.388746436,1.401612413,3,1,1.36123,27,1.41624,59,1.38504,3,1.35926,Buy,17,59,Buy,win,0.02381000000000011,1.7491533392593543,Buywin
17,2015-06-22T20:00:00+07:00,1.39076,1.40225,1.38908,1.39903,1.384789237,1.386272007,1.387607946,1.388727712,1.389744716,1.38390386,3,2,1.38504,5,1.37431,43,1.39903,0,1.40225,Sell,18,43,Sell,loss,-0.013989999999999947,-1.0100791312886233,Sellloss
18,2015-06-24T16:00:00+07:00,1.37862,1.38182,1.37496,1.38075,1.38439437,1.385411725,1.386122616,1.386348459,1.385825201,1.391404253,3,1,1.39903,0,1.40225,11,1.38075,8,1.37491,Buy,19,11,Buy,loss,-0.018280000000000074,-1.3066195864277446,Buyloss
19,2015-07-01T08:00:00+07:00,1.39075,1.39252,1.39013,1.39238,1.383937815,1.384404999,1.384617235,1.384608886,1.384708361,1.366581177,3,2,1.38075,16,1.35158,29,1.39238,26,1.39656,Sell,20,29,Sell,loss,-0.01163000000000003,-0.8422958537027,Sellloss
20,2015-07-31T00:00:00+07:00,1.41915,1.4229,1.41788,1.42012,1.419015256,1.421196829,1.423428951,1.425534961,1.426913575,1.430504208,3,1,1.39238,111,1.44943,130,1.42012,17,1.38217,Buy,21,130,Buy,win,0.027740000000000098,1.9922722245364124,Buywin
21,2015-08-03T20:00:00+07:00,1.44161,1.44308,1.43833,1.4415,1.422612982,1.424883425,1.427237442,1.429606131,1.431898165,1.426832582,3,2,1.42012,0,1.41742,12,1.4415,6,1.44503,Sell,22,12,Sell,loss,-0.021379999999999955,-1.5055065769089904,Sellloss
22,2015-08-19T16:00:00+07:00,1.44155,1.44443,1.44024,1.44351,1.440894979,1.442814312,1.444627731,1.446204588,1.447164659,1.449640608,3,1,1.4415,53,1.4614,71,1.44351,23,1.42506,Buy,23,71,Buy,win,0.0020100000000000673,0.13943808532778823,Buywin
23,2015-08-21T00:00:00+07:00,1.46581,1.47149,1.46402,1.47073,1.444450235,1.446646941,1.448887224,1.451208161,1.453764288,1.449352478,3,2,1.44351,1,1.44024,9,1.47073,0,1.47149,Sell,24,9,Sell,loss,-0.027220000000000022,-1.8856814292938753,Sellloss
24,2015-08-29T00:00:00+07:00,1.4773,1.48498,1.47573,1.47604,1.477116069,1.481680868,1.486594367,1.491583634,1.495321464,1.49887,3,1,1.47073,11,1.55605,36,1.47604,0,1.46402,Buy,25,36,Buy,win,0.005309999999999926,0.3610451952431735,Buywin
25,2015-09-11T16:00:00+07:00,1.49707,1.49792,1.49042,1.49549,1.481893803,1.483382023,1.484432485,1.485040903,1.485723929,1.474024254,3,2,1.47604,24,1.45966,59,1.49549,58,1.50115,Sell,26,59,Sell,loss,-0.019449999999999967,-1.3177149670740609,Sellloss
26,2015-09-22T16:00:00+07:00,1.48346,1.48389,1.47819,1.48089,1.488433037,1.489474746,1.490179729,1.490473358,1.490066675,1.495795394,3,1,1.49549,26,1.50786,42,1.48089,41,1.47679,Buy,27,42,Buy,loss,-0.014599999999999946,-0.9762686477341839,Buyloss
27,2015-09-25T00:00:00+07:00,1.50302,1.50386,1.49081,1.49369,1.488318515,1.48906716,1.489519261,1.489702616,1.48978264,1.480896593,3,2,1.48089,6,1.47251,15,1.49369,14,1.51154,Sell,28,15,Sell,loss,-0.012799999999999923,-0.8643450897770882,Sellloss
28,2015-10-02T00:00:00+07:00,1.48527,1.48639,1.48204,1.48496,1.491661969,1.492397395,1.492973526,1.493397047,1.493465486,1.499685686,3,1,1.49369,17,1.51586,30,1.48496,29,1.47624,Buy,29,30,Buy,loss,-0.008729999999999905,-0.5844586226057552,Buyloss
29,2015-10-13T20:00:00+07:00,1.48684,1.49001,1.4741,1.48103,1.479222746,1.478241124,1.476995276,1.475671625,1.474928998,1.471556484,3,2,1.48496,24,1.45484,48,1.48103,6,1.49826,Sell,30,48,Sell,win,0.003929999999999989,0.26465359336278343,Sellwin
30,2015-10-16T16:00:00+07:00,1.46562,1.46871,1.46154,1.46536,1.477871612,1.476971117,1.475915802,1.474823947,1.473777351,1.474885362,3,1,1.48103,0,1.49001,17,1.46536,13,1.46044,Buy,31,17,Buy,loss,-0.015670000000000073,-1.0580474399573319,Buyloss
31,2015-10-22T00:00:00+07:00,1.4879,1.49079,1.48679,1.48981,1.476928291,1.476309401,1.475743714,1.475447274,1.475797615,1.467738723,3,2,1.46536,7,1.4608,21,1.48981,0,1.49079,Sell,32,21,Sell,loss,-0.024450000000000083,-1.6685319648414099,Sellloss
32,2015-10-23T20:00:00+07:00,1.45192,1.45788,1.44906,1.45071,1.474005729,1.472994769,1.471832838,1.470464641,1.468473753,1.474050844,3,1,1.48981,0,1.49079,11,1.45071,10,1.44448,Buy,33,11,Buy,loss,-0.039100000000000135,-2.624495741067662,Buyloss
33,2015-11-13T21:00:00+07:00,1.43026,1.43485,1.42819,1.43008,1.438442169,1.435843882,1.433237591,1.430866469,1.429262483,1.425437964,3,2,1.45071,73,1.41615,91,1.43008,18,1.46671,Sell,34,91,Sell,win,0.020629999999999926,1.4220623005287016,Sellwin
34,2015-11-17T17:00:00+07:00,1.41984,1.42207,1.41777,1.41846,1.435562602,1.433114276,1.430715692,1.428551581,1.42683814,1.432976015,3,1,1.43008,1,1.43518,11,1.41846,0,1.41777,Buy,35,11,Buy,loss,-0.011619999999999964,-0.8125419556947837,Buyloss
35,2015-12-04T13:00:00+07:00,1.46085,1.46206,1.45075,1.45252,1.424432407,1.423879071,1.423961771,1.425112676,1.428359748,1.413050689,3,2,1.41846,73,1.40243,78,1.45252,75,1.46512,Sell,36,78,Sell,loss,-0.03405999999999998,-2.401195662902019,Sellloss
36,2015-12-31T13:00:00+07:00,1.51594,1.51904,1.51539,1.51632,1.504202436,1.508250126,1.512083663,1.515180792,1.516886322,1.523231603,3,1,1.45252,74,1.53215,108,1.51632,1,1.44831,Buy,37,108,Buy,win,0.06379999999999986,4.3923663701704525,Buywin
37,2016-01-08T01:00:00+07:00,1.52716,1.54297,1.52713,1.54266,1.508954655,1.511722935,1.514079411,1.515880632,1.517563491,1.515580612,3,2,1.51632,15,1.4953,28,1.54266,0,1.54297,Sell,38,28,Sell,loss,-0.02634000000000003,-1.7371003482114615,Sellloss
38,2016-01-22T17:00:00+07:00,1.53873,1.53991,1.52875,1.53403,1.55203072,1.556318093,1.560501711,1.564162326,1.565792584,1.58014881,3,1,1.54266,51,1.61051,64,1.53403,4,1.52121,Buy,39,64,Buy,loss,-0.008629999999999916,-0.5594233337222665,Buyloss
39,2016-02-05T17:00:00+07:00,1.53599,1.54729,1.53423,1.53807,1.536986374,1.536581953,1.535516164,1.533969016,1.532772368,1.523398742,3,2,1.53403,34,1.5111,61,1.53807,12,1.55675,Sell,40,61,Sell,loss,-0.0040400000000000436,-0.2633586044601503,Sellloss
40,2016-02-16T01:00:00+07:00,1.54246,1.54378,1.54093,1.54281,1.551035702,1.552492248,1.554121696,1.556082641,1.557958142,1.56979449,3,1,1.53807,26,1.59145,38,1.54281,1,1.53323,Buy,41,38,Buy,win,0.0047399999999999665,0.3081784314107919,Buywin
41,2016-03-14T08:00:00+07:00,1.47437,1.47588,1.47356,1.47508,1.483571024,1.479843469,1.476266425,1.473447647,1.472407914,1.448248651,3,2,1.54281,107,1.43889,117,1.47508,10,1.55327,Sell,42,117,Sell,win,0.06773000000000007,4.39004154756581,Sellwin
42,2016-03-18T16:00:00+07:00,1.46782,1.46807,1.45876,1.45997,1.479374791,1.476854569,1.474749406,1.473332121,1.472503877,1.496346121,3,1,1.47508,9,1.48793,26,1.45997,0,1.45876,Buy,43,26,Buy,loss,-0.015109999999999957,-1.0243512216286546,Buyloss
43,2016-03-25T00:00:00+07:00,1.4809,1.48232,1.47921,1.47971,1.475891392,1.474208609,1.473014989,1.472480716,1.472730137,1.467758897,3,2,1.45997,1,1.45876,27,1.47971,26,1.48367,Sell,44,27,Sell,loss,-0.01974000000000009,-1.3520825770392604,Sellloss
44,2016-03-31T16:00:00+07:00,1.47126,1.47512,1.46529,1.46889,1.47555967,1.474657182,1.474152931,1.473994666,1.473851608,1.475565072,3,1,1.47971,6,1.48315,28,1.46889,0,1.46529,Buy,45,28,Buy,loss,-0.010820000000000052,-0.7312243615303033,Buyloss
45,2016-04-02T00:00:00+07:00,1.48575,1.48675,1.48137,1.48149,1.476779088,1.476275499,1.47625467,1.476753797,1.477789828,1.474598021,3,2,1.46889,1,1.46529,9,1.48149,8,1.49768,Sell,46,9,Sell,loss,-0.012599999999999945,-0.8577905765578052,Sellloss
46,2016-04-11T20:00:00+07:00,1.47681,1.4803,1.47168,1.47214,1.48294752,1.483393284,1.48414942,1.485008878,1.48534698,1.494693211,3,1,1.48149,10,1.50292,35,1.47214,0,1.47168,Buy,47,35,Buy,loss,-0.00934999999999997,-0.6311213710521144,Buyloss
47,2016-05-03T00:00:00+07:00,1.44344,1.44646,1.44256,1.44457,1.441138854,1.438526096,1.43595328,1.433808254,1.433014889,1.425951903,3,2,1.47214,79,1.4181,92,1.44457,0,1.48063,Sell,48,92,Sell,win,0.027570000000000094,1.872783838493628,Sellwin
48,2016-05-13T00:00:00+07:00,1.46047,1.46259,1.45795,1.46105,1.45930582,1.460452148,1.462284256,1.464776227,1.467199814,1.470492739,3,1,1.44457,29,1.48249,48,1.46105,2,1.44208,Buy,49,48,Buy,win,0.01648000000000005,1.1408239129983353,Buywin
49,2016-05-20T16:00:00+07:00,1.46833,1.47278,1.46745,1.47003,1.461447485,1.462239914,1.46318484,1.464081174,1.464712808,1.459875518,3,2,1.46105,25,1.45395,35,1.47003,30,1.47359,Sell,50,35,Sell,loss,-0.008979999999999988,-0.614626467266691,Sellloss
50,2016-05-25T20:00:00+07:00,1.46212,1.46403,1.45417,1.45964,1.463639863,1.46441094,1.465225205,1.465889321,1.466132625,1.473480024,3,1,1.47003,11,1.47804,19,1.45964,0,1.45417,Buy,51,19,Buy,loss,-0.0103899999999999,-0.7067882968374727,Buyloss
51,2016-06-02T20:00:00+07:00,1.46801,1.46968,1.45844,1.45947,1.459821839,1.459776954,1.459613733,1.459338368,1.459298828,1.455012924,3,2,1.45964,6,1.44342,37,1.45947,36,1.47061,Sell,52,37,Sell,win,0.00017000000000000348,0.01164670740730615,Sellwin
52,2016-06-08T00:00:00+07:00,1.45204,1.45228,1.44593,1.44606,1.459871557,1.459805093,1.459638492,1.459348372,1.458875621,1.465998686,3,1,1.45947,8,1.47282,19,1.44606,0,1.44593,Buy,53,19,Buy,loss,-0.013410000000000144,-0.9188266973627511,Buyloss
53,2016-06-17T00:00:00+07:00,1.45293,1.45741,1.45269,1.45526,1.45153235,1.450726264,1.44984801,1.449069559,1.448954311,1.445188713,3,2,1.44606,17,1.43189,43,1.45526,40,1.46387,Sell,54,43,Sell,loss,-0.009200000000000097,-0.6362114988313139,Sellloss
54,2016-06-22T00:00:00+07:00,1.44231,1.44294,1.43974,1.4407,1.451115768,1.450516341,1.449932293,1.449470603,1.449208818,1.455579378,3,1,1.45526,8,1.46071,18,1.4407,0,1.43974,Buy,55,18,Buy,loss,-0.014559999999999906,-1.0005085001992706,Buyloss
55,2016-07-11T12:00:00+07:00,1.44004,1.44452,1.43933,1.44386,1.440948925,1.440187528,1.439497872,1.438988801,1.438898783,1.431878154,3,2,1.4407,15,1.42479,82,1.44386,14,1.45753,Sell,56,82,Sell,loss,-0.0031599999999998296,-0.21933782189212392,Sellloss
56,2016-07-15T00:00:00+07:00,1.43084,1.43466,1.43057,1.43292,1.441400934,1.440973445,1.440661477,1.440487058,1.440304336,1.4443,3,1,1.44386,2,1.45361,21,1.43292,20,1.4297,Buy,57,21,Buy,loss,-0.01093999999999995,-0.757691188896427,Buyloss
57,2016-07-22T08:00:00+07:00,1.44315,1.44571,1.44284,1.44557,1.439086749,1.43867627,1.438357635,1.438177385,1.438289451,1.4325188,3,2,1.43292,7,1.42742,33,1.44557,0,1.44571,Sell,58,33,Sell,loss,-0.01265000000000005,-0.8828127180861493,Sellloss
58,2016-08-05T00:00:00+07:00,1.44828,1.45034,1.44751,1.44847,1.452629482,1.453912739,1.455466665,1.457190443,1.45860541,1.465746248,3,1,1.44557,49,1.47332,58,1.44847,2,1.43807,Buy,59,58,Buy,win,0.0028999999999999027,0.2006129070193697,Buywin
59,2016-08-09T12:00:00+07:00,1.4607,1.46114,1.45831,1.45933,1.454136222,1.455255199,1.456480457,1.457650991,1.458418994,1.454417211,3,2,1.44847,0,1.44746,16,1.45933,7,1.46265,Sell,60,16,Sell,loss,-0.010860000000000092,-0.7497566397647236,Sellloss
60,2016-08-12T12:00:00+07:00,1.44471,1.44767,1.44447,1.44727,1.454085471,1.454733954,1.455246242,1.455367324,1.454642521,1.457531222,3,1,1.45933,10,1.46122,18,1.44727,15,1.44319,Buy,61,18,Buy,loss,-0.01205999999999996,-0.8264066386629453,Buyloss
61,2016-08-18T12:00:00+07:00,1.45047,1.45118,1.44922,1.45061,1.451885115,1.451939142,1.451757226,1.451228499,1.450409766,1.448400276,3,2,1.44727,8,1.44284,25,1.45061,20,1.45484,Sell,62,25,Sell,loss,-0.0033399999999998986,-0.2307793293580257,Sellloss
62,2016-08-29T12:00:00+07:00,1.45658,1.45726,1.45411,1.45459,1.455293448,1.455684141,1.456068935,1.456467579,1.456835389,1.4578,3,1,1.45061,15,1.46728,42,1.45459,2,1.44631,Buy,63,42,Buy,win,0.003980000000000095,0.2743673351210935,Buywin
63,2016-09-01T00:00:00+07:00,1.46451,1.4653,1.46167,1.46192,1.456193576,1.456618481,1.457061819,1.457561547,1.458179338,1.45654,3,2,1.45459,2,1.45279,16,1.46192,15,1.4655,Sell,64,16,Sell,loss,-0.007330000000000059,-0.5039220673866903,Sellloss
64,2016-09-05T20:00:00+07:00,1.44363,1.44363,1.43954,1.44186,1.456077616,1.456264352,1.456333548,1.456164914,1.455360707,1.459192447,3,1,1.46192,6,1.46838,17,1.44186,0,1.43954,Buy,65,17,Buy,loss,-0.02006000000000019,-1.3721681076940042,Buyloss
65,2016-09-09T16:00:00+07:00,1.45879,1.46254,1.45551,1.46188,1.453382318,1.453175807,1.452837912,1.452387704,1.452070704,1.451037485,3,2,1.44186,5,1.43803,24,1.46188,0,1.46254,Sell,66,24,Sell,loss,-0.02002000000000015,-1.3884843188659197,Sellloss
