,time,open,high,low,close,EMA90,EMA,EMA60,EMA45,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
13,2015-08-07T20:00:00+07:00,1.54731,1.54947,1.54245,1.54774,1.55741635,1.557329435,1.5571776,1.556854798,1.55603775,1.562716916,3,1,1.56042,3,1.56897,45,1.54774,0,1.54245,Buy,14,45,Buy,loss,-0.012680000000000025,-0.8126017354302063,Buyloss
14,2015-08-12T16:00:00+07:00,1.55721,1.56298,1.55585,1.5619,1.556946755,1.556841812,1.556707861,1.556536114,1.556391261,1.548280428,3,2,1.54774,1,1.54245,18,1.5619,0,1.56298,Sell,15,18,Sell,loss,-0.014160000000000172,-0.9148823445798502,Sellloss
15,2015-08-27T20:00:00+07:00,1.54252,1.5433,1.53699,1.54069,1.562310459,1.562514379,1.562569799,1.562204475,1.560623139,1.559618567,3,1,1.5619,54,1.58191,67,1.54069,0,1.53699,Buy,16,67,Buy,loss,-0.021210000000000173,-1.3579614571995757,Buyloss
16,2015-09-11T20:00:00+07:00,1.54306,1.54366,1.54,1.54303,1.540910062,1.539512487,1.538173045,1.53727086,1.537674114,1.53684708,3,2,1.54069,38,1.51627,67,1.54303,0,1.54909,Sell,17,67,Sell,loss,-0.0023400000000000087,-0.15188000181736813,Sellloss
17,2015-09-23T20:00:00+07:00,1.52555,1.5266,1.52207,1.52626,1.543893237,1.543714704,1.543706166,1.54376093,1.543179502,1.541549789,3,1,1.54303,29,1.5659,48,1.52626,0,1.52207,Buy,18,48,Buy,loss,-0.01676999999999995,-1.0868226800515837,Buyloss
18,2015-10-08T12:00:00+07:00,1.53081,1.53369,1.53072,1.53262,1.526277532,1.525040613,1.523921856,1.523196796,1.523606286,1.522897624,3,2,1.52626,35,1.5107,65,1.53262,0,1.53428,Sell,19,65,Sell,loss,-0.006360000000000143,-0.4167048864544798,Sellloss
19,2015-10-26T20:00:00+07:00,1.53316,1.53817,1.53245,1.5364,1.537329408,1.537915637,1.538596229,1.539131796,1.53889401,1.540308272,3,1,1.53262,32,1.55089,74,1.5364,19,1.52003,Buy,20,74,Buy,win,0.0037799999999998946,0.2466364787096537,Buywin
20,2015-11-03T01:00:00+07:00,1.54219,1.54228,1.54056,1.54155,1.536219773,1.536431077,1.536631532,1.536796315,1.537200528,1.538066929,3,2,1.5364,19,1.52422,32,1.54155,29,1.5497,Sell,21,32,Sell,loss,-0.005149999999999988,-0.3351991668836233,Sellloss
21,2015-11-06T21:00:00+07:00,1.50453,1.50864,1.50302,1.50376,1.533857677,1.533476567,1.532806224,1.531579985,1.529174105,1.525227524,3,1,1.54155,3,1.54454,23,1.50376,22,1.5029,Buy,22,23,Buy,loss,-0.03778999999999999,-2.451428756770782,Buyloss
22,2015-11-20T05:00:00+07:00,1.52898,1.52933,1.52709,1.52791,1.524469021,1.523794547,1.523201866,1.522918889,1.523409942,1.519964396,3,2,1.50376,2,1.50269,57,1.52791,55,1.53356,Sell,23,57,Sell,loss,-0.024150000000000116,-1.6059743576102647,Sellloss
23,2015-11-24T01:00:00+07:00,1.51274,1.51313,1.5109,1.51226,1.523241933,1.522509342,1.521799307,1.521193421,1.520656546,1.524778426,3,1,1.52791,3,1.53098,11,1.51226,0,1.5109,Buy,24,11,Buy,loss,-0.015650000000000164,-1.0242749900190562,Buyloss
24,2015-12-10T21:00:00+07:00,1.51582,1.51876,1.51522,1.51685,1.510500504,1.509712249,1.509121285,1.508937718,1.509596814,1.504685734,3,2,1.51226,42,1.48948,78,1.51685,77,1.52021,Sell,25,78,Sell,loss,-0.004590000000000094,-0.30351923611019893,Sellloss
25,2015-12-17T01:00:00+07:00,1.50102,1.50988,1.49567,1.49998,1.510853372,1.51041025,1.51011108,1.509924991,1.50950458,1.511246177,3,1,1.51685,7,1.524,25,1.49998,0,1.49567,Buy,26,25,Buy,loss,-0.01686999999999994,-1.112173253782506,Buyloss
26,2016-02-03T01:00:00+07:00,1.441,1.44269,1.44045,1.44073,1.435946398,1.43402527,1.432680883,1.432272505,1.433226144,1.422665354,3,2,1.49998,143,1.40791,193,1.44073,1,1.50988,Sell,27,193,Sell,win,0.059250000000000025,3.9500526673688996,Sellwin
27,2016-02-17T17:00:00+07:00,1.431,1.43388,1.42799,1.42879,1.442850788,1.442691515,1.442631859,1.442303022,1.440885295,1.444236871,3,1,1.44073,10,1.46688,64,1.42879,63,1.42443,Buy,28,64,Buy,loss,-0.011940000000000062,-0.8287465382132712,Buyloss
28,2016-03-05T01:00:00+07:00,1.42212,1.42353,1.42007,1.42229,1.412916241,1.410773022,1.408741747,1.407303511,1.407747785,1.41069,3,2,1.42879,49,1.38354,75,1.42229,15,1.44048,Sell,29,75,Sell,win,0.00649999999999995,0.45493039564946214,Sellwin
29,2016-03-16T20:00:00+07:00,1.40648,1.41122,1.40527,1.4102,1.419568425,1.419562173,1.419935892,1.420626127,1.420938656,1.427353229,3,1,1.42229,29,1.44363,47,1.4102,0,1.40527,Buy,30,47,Buy,loss,-0.012090000000000156,-0.8500376153949023,Buyloss
30,2016-03-18T04:00:00+07:00,1.44772,1.44864,1.4467,1.44815,1.422366959,1.422883054,1.423928772,1.42559652,1.427876505,1.418369777,3,2,1.4102,1,1.40527,9,1.44815,7,1.45033,Sell,31,9,Sell,loss,-0.03795000000000015,-2.691107644305783,Sellloss
31,2016-03-23T16:00:00+07:00,1.41668,1.41993,1.41439,1.41475,1.426193788,1.426936669,1.427941021,1.428980295,1.429289597,1.431571509,3,1,1.44815,4,1.45145,21,1.41475,0,1.41439,Buy,32,21,Buy,loss,-0.033400000000000096,-2.3063909125435966,Buyloss
32,2016-03-29T20:00:00+07:00,1.43011,1.43787,1.42593,1.4365,1.42264556,1.422627998,1.422547503,1.422243494,1.421757937,1.41943,3,2,1.41475,6,1.40571,26,1.4365,0,1.43787,Sell,33,26,Sell,loss,-0.021750000000000158,-1.5373740943629728,Sellloss
33,2016-04-06T08:00:00+07:00,1.41533,1.417,1.41435,1.41635,1.425400038,1.425557657,1.425632778,1.425458055,1.424659532,1.429592297,3,1,1.4365,6,1.44591,33,1.41635,30,1.41212,Buy,34,33,Buy,loss,-0.020150000000000112,-1.4027149321267045,Buyloss
34,2016-04-12T16:00:00+07:00,1.42931,1.43477,1.42518,1.42621,1.420973117,1.420536185,1.419947909,1.419214503,1.418670742,1.415495826,3,2,1.41635,3,1.40053,27,1.42621,0,1.43477,Sell,35,27,Sell,loss,-0.00985999999999998,-0.6961556112542789,Sellloss
35,2016-04-15T04:00:00+07:00,1.41512,1.41535,1.41326,1.414,1.420551832,1.420162906,1.419685162,1.419147112,1.418675287,1.421122904,3,1,1.42621,0,1.43477,15,1.414,11,1.40901,Buy,36,15,Buy,loss,-0.012210000000000054,-0.8561151583567675,Buyloss
36,2016-04-20T00:00:00+07:00,1.43851,1.44061,1.43851,1.43932,1.42222563,1.422305262,1.422544035,1.423161011,1.424699181,1.426977632,3,2,1.414,9,1.4131,18,1.43932,17,1.44188,Sell,37,18,Sell,loss,-0.02532000000000001,-1.7906647807637914,Sellloss
37,2016-05-09T08:00:00+07:00,1.4416,1.44404,1.44152,1.44399,1.447042731,1.44862288,1.450080385,1.451017713,1.450586114,1.45348704,3,1,1.43932,57,1.47696,80,1.44399,9,1.42979,Buy,38,80,Buy,win,0.004670000000000174,0.32445877219799446,Buywin
38,2016-05-19T12:00:00+07:00,1.45758,1.46637,1.45616,1.46481,1.446213905,1.446747496,1.447160689,1.447586756,1.448661571,1.442977209,3,2,1.44399,33,1.43323,50,1.46481,0,1.46637,Sell,39,50,Sell,loss,-0.02081999999999984,-1.4418382398769962,Sellloss
39,2016-06-02T00:00:00+07:00,1.4422,1.44269,1.44031,1.44143,1.454807757,1.455545879,1.456133001,1.456360954,1.455535926,1.458264138,3,1,1.46481,30,1.47394,57,1.44143,56,1.43859,Buy,40,57,Buy,loss,-0.023379999999999956,-1.596111441074266,Buyloss
40,2016-06-08T12:00:00+07:00,1.45507,1.45794,1.45,1.45316,1.451782296,1.451799607,1.451581936,1.451094946,1.450525857,1.43924734,3,2,1.44143,14,1.43515,28,1.45316,21,1.46622,Sell,41,28,Sell,loss,-0.011730000000000018,-0.8137752093407254,Sellloss
