,time,open,high,low,close,EMA90,EMA75,EMA60,EMA,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
12,2015-03-26T09:00:00Z,1213.4365,1214.0385,1204.0345,1204.8685,1181.839592,1181.150579,1181.522284,1183.634346,1188.373998,1195.919,3,2,1233.7305,150,1142.7585,191,1204.8685,0,1240.1785,Sell,13,191,Sell,win,28.862,55.50384615,Sellwin
13,2015-05-28T13:00:00Z,1187.962,1190.3495,1180.2165,1188.61,1200.468422,1200.32383,1199.783867,1198.443024,1195.576607,1192.562667,3,1,1204.8685,216,1232.473,265,1188.61,151,1170.193,Buy,14,265,Buy,loss,-16.2585,-31.26634615,Buyloss
14,2015-08-20T05:00:00Z,1138.5315,1142.2435,1136.244,1137.7055,1112.602939,1113.180475,1114.73954,1117.455484,1121.31391,1117.663256,3,2,1188.61,219,1072.2495,358,1137.7055,91,1205.973,Sell,15,358,Sell,win,50.9045,97.89326923,Sellwin
15,2015-09-11T09:00:00Z,1107.3795,1108.5785,1105.1765,1106.532,1123.067539,1122.456412,1121.272132,1119.177007,1115.923,1117.551912,3,1,1137.7055,14,1170.28,96,1106.532,85,1101.3505,Buy,16,96,Buy,loss,-31.1735,-59.94903846,Buyloss
16,2015-10-09T09:00:00Z,1153.9045,1157.945,1150.9215,1156.3705,1134.40453,1135.589814,1137.069554,1139.004188,1141.734151,1138.281592,3,2,1106.532,2,1098.795,121,1156.3705,0,1157.945,Sell,17,121,Sell,loss,-49.8385,-95.84326923,Sellloss
17,2015-11-02T06:00:00Z,1142.1525,1143.1005,1137.752,1137.8265,1159.039337,1159.419955,1159.088487,1157.557798,1154.106311,1156.955147,3,1,1156.3705,24,1191.653,95,1137.8265,93,1134.3365,Buy,18,95,Buy,loss,-18.544,-35.66153846,Buyloss
18,2016-01-20T22:00:00Z,1101.059,1102.365,1097.325,1099.872,1086.98134,1088.165709,1089.456555,1090.75135,1092.058951,1083.796224,3,2,1137.8265,136,1046.459,337,1099.872,1,1143.1005,Sell,19,337,Sell,win,37.9545,72.98942308,Sellwin
19,2016-05-27T05:00:00Z,1217.397,1223.5925,1217.292,1221.7,1250.870171,1248.659565,1245.367728,1240.62057,1234.078967,1232.696033,3,1,1099.872,428,1303.838,541,1221.7,4,1092.528,Buy,20,541,Buy,win,121.828,234.2846154,Buywin
20,2016-06-13T01:00:00Z,1276.205,1276.237,1272.581,1274.9545,1245.941471,1246.544393,1248.136434,1251.519423,1257.716241,1270.0275,3,2,1221.7,7,1199.655,65,1274.9545,64,1278.552,Sell,21,65,Sell,loss,-53.2545,-102.4125,Sellloss
21,2016-07-21T09:00:00Z,1321.3355,1323.569,1317.5495,1319.579,1330.313896,1331.671948,1332.00701,1330.810397,1327.683863,1329.183504,3,1,1274.9545,103,1375.307,169,1319.579,53,1250.4275,Buy,22,169,Buy,win,44.6245,85.81634615,Buywin
