,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,accum_winrate20,accum_winrate50
205,206,Buy win,1.38726,27,1.3875688200000003,2021-07-06 08:30:00+07:00,1.38603,1.38603,30,1.38354,1.38354,10,25.0,1.38559,0,-0.0016699999999998383,-65.0,27,1.3875688200000003,1.0,0.0,Buy,win,0.12402409638566575,10.0,0.00028977592613473307,8.76091255718462e-05,normal,1,0,79.12621359223301,771.0,0.5,65.0,74.0
206,207,Sell win,1.37636,27,1.37636,2021-07-07 21:00:00+07:00,1.38957,1.3836,63,1.37794,1.37794,43,115.0,1.38176,8,-0.005400000000000071,-45.0,27,1.37636,34.0,1.37636,Sell,win,0.0,0.0,0.0,8.718589308116094e-05,same_hi,0,2,79.22705314009661,771.0,-0.18867924528301888,70.0,74.0
207,208,Sell win,1.38064,28,1.38325784,2021-07-14 01:30:00+07:00,1.39044,1.38507,19,1.38395,1.38395,49,65.0,1.38563,7,-0.004989999999999828,-75.0,28,1.38325784,12.0,1.38064,Sell,win,0.403365177195673,40.0,0.0009424420027936285,9.129770130093242e-05,same_hi,0,1,79.32692307692308,811.0,0.4411764705882353,75.0,76.0
208,209,Sell loss,1.38197,28,1.38945,2021-07-15 14:00:00+07:00,1.38869,1.38869,36,1.38229,1.38229,9,65.0,1.38945,6,-0.007480000000000153,-115.0,28,1.3783348,0.0,0.0,Sell,loss,-1.168750000000031,-115.0,-0.002730724299065493,7.77952036915237e-05,loss,0,0,78.94736842105263,696.0,-0.6,75.0,76.0
209,210,Buy loss,1.38945,28,1.38161,2021-07-16 00:00:00+07:00,1.38869,1.38869,42,1.38229,1.38229,15,65.0,1.38161,14,-0.00784000000000007,-125.0,28,1.3926452,0.0,0.0,Buy,loss,-1.2250000000000183,-125.0,-0.002862149532710323,6.37954668515149e-05,loss,0,3,78.57142857142857,571.0,0.47368421052631576,70.0,74.0
210,211,Sell win,1.38161,28,1.3783348,2021-07-16 00:00:00+07:00,1.38869,1.38869,56,1.38229,1.38229,29,65.0,1.3862,31,-0.004590000000000094,-70.0,28,1.3783348,42.0,0.0,Sell,win,0.5117500000000084,50.0,0.0011956775700934774,6.915983700905974e-05,normal,2,3,78.67298578199052,621.0,-0.3176470588235294,75.0,74.0
211,212,Buy win,1.36354,29,1.36569244,2021-07-21 16:30:00+07:00,1.36348,1.36348,19,1.3599,1.3599,5,35.0,1.35959,3,-0.003949999999999898,-110.0,29,1.36569244,8.0,0.0,Buy,win,0.6012402234636794,60.0,0.0014047668772515876,7.545987021775092e-05,normal,0,0,78.77358490566037,681.0,0.5833333333333334,75.0,74.0
212,213,Sell loss,1.37371,29,1.3786,2021-07-23 14:00:00+07:00,1.37823,1.37797,36,1.37418,1.37418,30,40.0,1.3786,52,-0.004890000000000061,-120.0,30,1.3723,0.0,1.3723,Sell,loss,-1.20740740740739,-120.0,-0.0028210453444097896,6.18612541866357e-05,loss,0,0,78.40375586854461,561.0,-0.09090909090909091,70.0,72.0
213,214,Buy win,1.3786,30,1.38031222,2021-07-26 16:00:00+07:00,1.37823,1.37797,88,1.37418,1.37418,82,40.0,1.37639,0,-0.0022100000000000453,-55.0,30,1.38031222,9.0,0.0,Buy,win,0.42277037037034193,40.0,0.000987781239183042,6.618798308848807e-05,swap_TP,0,19,78.50467289719626,601.0,0.03529411764705882,70.0,72.0
214,215,Buy win,1.39047,30,1.39176796,2021-07-29 01:30:00+07:00,1.38916,1.38916,49,1.38494,1.38494,10,40.0,1.38666,0,-0.003810000000000091,-90.0,30,1.39176796,15.0,0.0,Buy,win,0.30757345971560524,30.0,0.0007186295787747786,6.922259516144756e-05,normal,0,1,78.6046511627907,631.0,0.6610169491525424,75.0,72.0
215,216,Buy loss,1.3983,30,1.39248,2021-07-30 21:00:00+07:00,1.39775,1.39775,39,1.39387,1.39387,7,40.0,1.39248,10,-0.005820000000000158,-150.0,30,1.3983,0.0,1.3983,Buy,loss,-1.5,-150.0,-0.0035046728971962616,5.267678269682853e-05,loss,2,0,78.24074074074075,481.0,0.6956521739130435,75.0,70.0
216,217,Sell win,1.39248,30,1.39147216,2021-07-30 21:00:00+07:00,1.39775,1.39775,49,1.39387,1.39387,17,40.0,1.39549,0,-0.003009999999999957,-80.0,30,1.39147216,1.0,1.3983,Sell,win,0.25975257731957596,25.0,0.0006068985451391962,5.523080003527262e-05,same_hi,5,1,78.3410138248848,506.0,-0.48484848484848486,75.0,70.0
217,218,Sell loss,1.3885,31,1.39352,2021-08-02 22:30:00+07:00,1.39257,1.39257,15,1.38888,1.38888,43,35.0,1.39352,38,-0.0050200000000000244,-135.0,31,1.3877,0.0,1.3877,Sell,loss,-1.3604336043359788,-135.0,-0.0031785831877008852,4.039679091721685e-05,loss,0,2,77.98165137614679,371.0,0.4827586206896552,70.0,68.0
218,219,Buy loss,1.39352,31,1.38863,2021-08-03 20:30:00+07:00,1.39257,1.39257,53,1.38888,1.38888,81,35.0,1.38863,6,-0.004890000000000061,-135.0,31,1.3948504200000003,0.0,0.0,Buy,loss,-1.3252032520324675,-135.0,-0.0030962692804496904,2.6074114792253805e-05,loss,0,20,77.62557077625571,236.0,-0.208955223880597,65.0,66.0
219,220,Sell loss,1.38863,31,1.39272,2021-08-03 20:30:00+07:00,1.39257,1.39257,59,1.38888,1.38888,87,35.0,1.39272,26,-0.004089999999999927,-110.0,31,1.38863,0.0,1.38863,Sell,loss,-1.1084010840107623,-110.0,-0.0025897221589036503,1.4184131729999698e-05,loss,5,20,77.27272727272727,126.0,0.1917808219178082,65.0,66.0
220,221,Buy win,1.39272,31,1.3948504200000003,2021-08-04 09:30:00+07:00,1.39257,1.39257,85,1.38888,1.38888,113,35.0,1.3918,12,-0.0009200000000000319,-25.0,31,1.3948504200000003,21.0,0.0,Buy,win,0.5773495934959858,60.0,0.001348947648355107,2.0223785651380276e-05,normal,6,22,77.37556561085972,186.0,-0.1414141414141414,65.0,66.0
221,222,Sell win,1.38763,31,1.38574,2021-08-06 21:00:00+07:00,1.39455,1.39455,48,1.38845,1.38845,72,60.0,1.38905,34,-0.0014199999999999768,-25.0,32,1.38574,36.0,1.38574,Sell,win,0.30983606557376214,30.0,0.0007239160410601919,2.33935705856542e-05,same_hi,0,1,77.47747747747748,216.0,0.2,65.0,66.0
222,223,Sell win,1.38042,32,1.38,2021-08-13 01:00:00+07:00,1.38831,1.38831,50,1.38086,1.38086,64,75.0,1.38167,17,-0.0012499999999999734,-15.0,32,1.38,24.0,1.38,Sell,win,0.0563758389261865,5.0,0.00013171924982753854,2.3879335963420498e-05,same_hi,0,0,77.57847533632287,221.0,0.12280701754385964,65.0,66.0
223,224,Sell win,1.37127,33,1.36994698,2021-08-19 09:00:00+07:00,1.37705,1.37705,25,1.37266,1.37266,67,45.0,1.37309,0,-0.0018199999999999328,-40.0,33,1.36994698,9.0,0.0,Sell,win,0.3013712984054735,30.0,0.0007041385476763399,2.6916207444281745e-05,normal,2,1,77.67857142857143,251.0,0.45652173913043476,65.0,66.0
224,225,Buy win,1.37507,34,1.3766625599999998,2021-08-26 00:30:00+07:00,1.37424,1.37424,19,1.37032,1.37032,10,40.0,1.3739,0,-0.0011700000000001154,-30.0,34,1.3766625599999998,1.0,0.0,Buy,win,0.40626530612239137,40.0,0.0009492180049588583,3.1015326544346535e-05,normal,0,0,77.77777777777777,291.0,0.3103448275862069,70.0,66.0
225,226,Sell win,1.36897,34,1.36906504,2021-08-27 08:30:00+07:00,1.37664,1.37023,60,1.36951,1.36951,11,70.0,1.37,0,-0.0010300000000000864,-15.0,34,1.36906504,3.0,0.0,Sell,win,0.013329593267872945,0.0,3.114390950437604e-05,3.1015895495497105e-05,swap_TP,0,1,77.87610619469027,291.0,-0.6901408450704225,70.0,66.0
226,227,Sell loss,1.37408,35,1.37818,2021-08-30 19:30:00+07:00,1.37778,1.37778,40,1.37495,1.37495,31,30.0,1.37818,31,-0.0040999999999999925,-145.0,35,1.3732010599999998,0.0,0.0,Sell,loss,-1.4487632508833332,-145.0,-0.003384960866549844,1.5967539715561683e-05,loss,0,3,77.5330396475771,146.0,-0.1267605633802817,65.0,64.0
227,228,Buy win,1.37818,35,1.3795289400000001,2021-08-31 11:00:00+07:00,1.37778,1.37778,71,1.37495,1.37495,62,30.0,1.37742,0,-0.0007599999999998719,-25.0,35,1.3795289400000001,3.0,0.0,Buy,win,0.47665724381630203,50.0,0.0011136851491035094,2.0782090633929874e-05,normal,0,10,77.63157894736842,196.0,0.06766917293233082,65.0,64.0
228,229,Buy win,1.37952,35,1.3809059,2021-09-02 16:30:00+07:00,1.37933,1.37933,35,1.37333,1.37678,63,60.0,1.37815,7,-0.0013700000000000934,-25.0,35,1.3809059,10.0,0.0,Buy,win,0.23098333333330462,25.0,0.0005396806853581883,2.3048023361983406e-05,swap_TP,0,0,77.7292576419214,221.0,-0.2857142857142857,65.0,66.0
229,230,Sell win,1.38127,36,1.3803941999999998,2021-09-07 15:00:00+07:00,1.38541,1.38541,14,1.38231,1.38231,36,30.0,1.38323,0,-0.0019599999999999618,-65.0,36,1.3803941999999998,4.0,0.0,Sell,win,0.2825161290323146,30.0,0.0006600844136269033,2.581774679791784e-05,normal,0,2,77.82608695652173,251.0,0.44,70.0,68.0
230,231,Buy win,1.37869,36,1.37986916,2021-09-09 14:30:00+07:00,1.37825,1.37825,27,1.37371,1.37563,34,45.0,1.3775,0,-0.0011900000000000244,-25.0,36,1.37986916,2.0,0.0,Buy,win,0.2597268722466872,25.0,0.0006068384865576804,2.8332988095579152e-05,swap_TP,0,0,77.92207792207792,276.0,-0.11475409836065574,75.0,70.0
