,time,open,high,low,close,EMA90,EMA75,EMA60,EMA,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
14,2017-03-27T16:00:00+07:00,1.25701,1.26127,1.25608,1.25998,1.238535935,1.239540119,1.241174162,1.243685533,1.247177612,1.247460016,3,2,1.2265,47,1.21088,102,1.25998,0,1.26127,Sell,15,102,Sell,loss,-0.033480000000000176,-2.7297187117815067,Sellloss
15,2017-08-16T20:00:00+07:00,1.28627,1.28749,1.28425,1.28474,1.300532318,1.299911633,1.298772147,1.296917608,1.294157766,1.294229931,3,1,1.25998,557,1.3268,613,1.28474,57,1.23651,Buy,16,613,Buy,win,0.024759999999999893,1.9651105573104248,Buywin
16,2017-09-08T20:00:00+07:00,1.31998,1.32163,1.31802,1.31881,1.297701535,1.298457404,1.299711492,1.301744336,1.304936983,1.311764688,3,2,1.28474,35,1.27739,103,1.31881,102,1.32241,Sell,17,103,Sell,loss,-0.034070000000000045,-2.651898438594583,Sellloss
17,2017-10-06T20:00:00+07:00,1.30494,1.30742,1.3027,1.30542,1.329689552,1.329443499,1.328275278,1.325714438,1.321272812,1.314258309,3,1,1.31881,49,1.36574,120,1.30542,0,1.3027,Buy,18,120,Buy,loss,-0.013390000000000013,-1.0153092560717627,Buyloss
18,2017-11-24T17:00:00+07:00,1.3327,1.33438,1.33049,1.33363,1.321779677,1.322467455,1.323496191,1.324999069,1.327119585,1.32786,3,2,1.30542,1,1.3027,210,1.33363,0,1.33438,Sell,19,210,Sell,loss,-0.02821000000000007,-2.1609903326132636,Sellloss
19,2018-05-01T12:00:00+07:00,1.37565,1.37623,1.36779,1.36832,1.398932696,1.397033376,1.394316659,1.390475641,1.38521402,1.385958414,3,1,1.33363,599,1.43767,659,1.36832,13,1.32208,Buy,20,659,Buy,win,0.03468999999999989,2.6011712393992252,Buywin
20,2018-09-10T16:00:00+07:00,1.29432,1.30332,1.29205,1.30303,1.290414441,1.290572666,1.290980658,1.291590979,1.292327573,1.286639066,3,2,1.36832,459,1.26617,566,1.30303,0,1.37697,Sell,21,566,Sell,win,0.06529000000000007,4.771544667913943,Sellwin
21,2018-10-30T04:00:00+07:00,1.27924,1.28049,1.27913,1.28035,1.298228082,1.296631634,1.294447115,1.291466812,1.287500858,1.2853,3,1,1.30303,48,1.32986,213,1.28035,204,1.27769,Buy,22,213,Buy,loss,-0.02267999999999981,-1.7405585443159262,Buyloss
22,2019-01-16T21:00:00+07:00,1.28498,1.28945,1.28427,1.28529,1.275893619,1.276904884,1.278295908,1.280112728,1.282338018,1.2672468,3,2,1.28035,269,1.2373,327,1.28529,40,1.31747,Sell,23,327,Sell,loss,-0.0049399999999999444,-0.3858319990627519,Sellloss
23,2019-04-24T00:00:00+07:00,1.29464,1.29467,1.29309,1.29311,1.304816371,1.303893282,1.302802274,1.30150466,1.299878908,1.30194,3,1,1.28529,241,1.33806,415,1.29311,126,1.27729,Buy,24,415,Buy,win,0.007819999999999938,0.6084230018128156,Buywin
24,2019-09-12T20:00:00+07:00,1.22903,1.23596,1.22846,1.23489,1.225071089,1.225981132,1.227268666,1.228973065,1.231081126,1.227934797,3,2,1.29311,568,1.19583,612,1.23489,48,1.31765,Sell,25,612,Sell,win,0.05821999999999994,4.502323854892464,Sellwin
25,2019-10-10T08:00:00+07:00,1.22118,1.22309,1.2209,1.22267,1.23103233,1.230451842,1.229506482,1.228122829,1.226276351,1.227883602,3,1,1.23489,34,1.25824,117,1.22267,108,1.21952,Buy,26,117,Buy,loss,-0.01222000000000012,-0.9895618233203054,Buyloss
26,2019-10-21T12:00:00+07:00,1.29041,1.30115,1.28881,1.29773,1.257905968,1.261237694,1.26554428,1.271297791,1.278968306,1.278786313,3,2,1.22267,0,1.22,44,1.29773,0,1.30115,Sell,27,44,Sell,loss,-0.07506000000000013,-6.139023612258429,Sellloss
27,2020-02-11T09:00:00+07:00,1.29155,1.29202,1.29107,1.2914,1.301093279,1.30026806,1.299178754,1.297672399,1.295490252,1.29358,3,1,1.29773,232,1.35149,469,1.2914,87,1.27685,Buy,28,469,Buy,loss,-0.006329999999999947,-0.4877748067779851,Buyloss
