,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,accum_winrate20,accum_winrate50
112,113,Buy loss,104.21,50,103.953,2020-12-07 16:00:00,104.208,104.208,18,103.962,103.962,9,2460.0,103.953,16,-0.2569999999999908,-105.0,50,104.29,0.0,104.29,Buy,loss,-1.0447154471544549,-105.0,-0.0029263738015530946,3.7058967207608326e-05,loss,0,0,77.87610619469027,151.0,0.3333333333333333,85.0,80.0
113,114,Sell loss,103.953,50,104.228,2020-12-07 16:00:00,104.208,104.208,34,103.962,103.962,25,2460.0,104.228,78,-0.2749999999999915,-110.0,50,103.953,0.0,103.953,Sell,loss,-1.1178861788617762,-110.0,-0.003131333834346712,9.266047895728323e-06,loss,10,1,77.19298245614036,41.0,-0.15254237288135594,80.0,78.0
114,115,Buy win,104.228,50,104.23,2020-12-09 07:00:00,104.208,104.208,112,103.962,103.962,103,2460.0,104.052,6,-0.17599999999998772,-70.0,50,104.23,15.0,104.23,Buy,win,0.00813008130085199,0.0,2.2773336977176442e-05,9.383502583393088e-06,same_hi,10,7,77.3913043478261,41.0,0.04186046511627907,80.0,78.0
115,116,Buy win,104.428,50,104.50089200000001,2020-12-10 02:30:00,104.381,104.381,19,104.187,104.187,10,1940.0,104.335,0,-0.09300000000000352,-50.0,50,104.50089200000001,1.0,0.0,Buy,win,0.37573195876293397,40.0,0.0010524704727253053,1.837563163634061e-05,normal,0,0,77.58620689655173,81.0,0.3103448275862069,80.0,78.0
116,117,Sell win,103.844,50,103.837232,2020-12-11 15:30:00,104.547,104.122,62,103.946,103.946,28,6010.0,103.992,0,-0.14800000000001035,-25.0,50,103.837232,1.0,0.0,Sell,win,0.011261231281187854,0.0,3.154406521341136e-05,1.8488182350674545e-05,swap_TP,0,0,77.77777777777777,81.0,-0.37777777777777777,80.0,78.0
117,118,Sell win,103.797,51,103.71607399999999,2020-12-14 09:00:00,104.051,104.051,9,103.844,103.844,36,2070.0,103.893,0,-0.09600000000000364,-45.0,51,103.71607399999999,2.0,0.0,Sell,win,0.39094685990339173,40.0,0.0010950892434268677,2.7611920156404993e-05,normal,0,1,77.96610169491525,121.0,0.6,85.0,80.0
118,119,Sell win,103.542,51,103.40811799999999,2020-12-16 03:30:00,104.141,103.811,47,103.562,103.562,76,5790.0,103.918,31,-0.3760000000000048,-65.0,51,103.40811799999999,36.0,103.29,Sell,win,0.23122970639034932,25.0,0.0006477022587964967,3.282276333825451e-05,same_hi,0,0,78.15126050420169,146.0,0.23577235772357724,85.0,80.0
119,120,Buy win,103.599,52,103.77803,2020-12-21 07:30:00,103.571,103.571,47,102.896,103.236,82,6750.0,103.474,0,-0.125,-20.0,52,103.77803,6.0,0.0,Buy,win,0.2652296296296268,25.0,0.0007429401390185625,3.8740408135590406e-05,swap_TP,0,0,78.33333333333333,171.0,-0.2713178294573643,85.0,82.0
120,121,Buy win,103.825,53,103.856062,2020-12-28 15:30:00,103.696,103.696,45,103.437,103.437,14,2590.0,103.688,0,-0.13700000000000045,-55.0,53,103.856062,1.0,0.0,Buy,win,0.11993050193046889,10.0,0.00033593978131784,4.119660130238586e-05,normal,3,0,78.51239669421487,181.0,0.5254237288135594,90.0,84.0
121,122,Sell win,103.014,53,102.835746,2020-12-31 09:30:00,103.864,103.326,131,103.023,103.023,41,8410.0,103.316,22,-0.3020000000000067,-35.0,1,102.835746,40.0,0.0,Sell,win,0.21195481569559302,20.0,0.0005937109683349944,4.572540758953839e-05,swap_TP,0,0,78.68852459016394,201.0,-0.5232558139534884,90.0,84.0
122,123,Sell loss,102.737,1,103.212,2021-01-05 23:00:00+07:00,103.195,103.195,50,102.745,102.745,61,4500.0,103.212,44,-0.4750000000000085,-105.0,1,102.606,0.0,102.606,Sell,loss,-1.055555555555601,-105.0,-0.0029567382508560256,2.131513394363949e-05,loss,1,0,78.04878048780488,96.0,0.0990990990990991,85.0,82.0
123,124,Buy win,103.212,1,103.33961199999999,2021-01-06 21:00:00+07:00,103.195,103.195,94,102.745,102.961,105,4500.0,102.943,13,-0.26900000000000546,-60.0,1,103.33961199999999,35.0,103.381,Buy,win,0.283582222222196,30.0,0.0007943479614067114,2.7549269648986845e-05,swap_TP,2,26,78.2258064516129,126.0,-0.05527638190954774,85.0,82.0
124,125,Sell win,104.091,2,104.007052,2021-01-12 23:30:00+07:00,104.308,104.308,24,104.122,104.122,43,1860.0,104.207,0,-0.11599999999999966,-60.0,2,104.007052,3.0,0.0,Sell,win,0.4513333333332752,45.0,0.0012642390289447484,3.744278772335294e-05,normal,1,2,78.4,171.0,0.2835820895522388,85.0,82.0
125,126,Buy win,104.051,3,104.07359,2021-01-19 09:30:00+07:00,103.916,103.916,54,103.661,103.661,20,2550.0,103.887,0,-0.16400000000000148,-65.0,3,104.07359,1.0,0.0,Buy,win,0.08858823529409528,10.0,0.00024814631735040695,3.911503795848828e-05,normal,0,4,78.57142857142857,181.0,0.4594594594594595,85.0,82.0
126,127,Buy win,103.585,3,103.646654,2021-01-22 12:30:00+07:00,103.583,103.583,25,103.362,103.48,35,2210.0,103.562,0,-0.022999999999996135,-10.0,3,103.646654,1.0,0.0,Buy,win,0.2789773755656258,30.0,0.0007814492312762627,4.49601890869747e-05,swap_TP,4,0,78.74015748031496,211.0,-0.16666666666666666,85.0,82.0
127,128,Buy loss,103.906,4,103.68,2021-01-26 20:00:00+07:00,103.854,103.854,27,103.696,103.696,16,1580.0,103.68,45,-0.2259999999999991,-145.0,4,103.906,0.0,103.906,Buy,loss,-1.430379746835426,-145.0,-0.004006665957522202,1.330685981659051e-05,loss,1,0,78.125,66.0,0.2558139534883721,85.0,82.0
128,129,Sell win,103.68,4,103.598356,2021-01-26 20:00:00+07:00,103.854,103.854,72,103.696,103.696,61,1580.0,103.743,0,-0.06299999999998818,-40.0,4,103.598356,3.0,103.906,Sell,win,0.5167341772152577,50.0,0.0014474346700707498,2.4424129663521977e-05,same_hi,4,6,78.29457364341086,116.0,-0.08270676691729323,85.0,82.0
129,130,Buy win,104.365,4,104.46806,2021-01-28 19:30:00+07:00,104.363,104.363,18,103.59,104.193,92,7730.0,104.173,19,-0.19199999999999307,-25.0,4,104.46806,24.0,0.0,Buy,win,0.13332470892626103,15.0,0.00037345856842089923,2.7109009961655647e-05,swap_TP,1,0,78.46153846153847,131.0,-0.6727272727272727,85.0,82.0
