Index,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
93,Buy win,2020-10-07T12:30:00Z,0.7144,0.71426,0.71426,10,0.71,0.71231,28,0.7123,26,0.7154651,34,0,Buy,win,0.250023474,0.000844674
94,Sell win,2020-10-13T13:30:00Z,0.71653,0.72019,0.72019,9,0.71658,0.71658,23,0.71738,22,0.71526,23,0.71526,Sell,win,0.351800554,0.001188515
95,Buy win,2020-10-19T00:00:00Z,0.7098,0.70952,0.70952,58,0.70707,0.70707,39,0.70837,7,0.71035,18,0.71035,Buy,win,0.224489796,0.000758411
96,Sell win,2020-10-19T17:30:00Z,0.70802,0.71116,0.71116,15,0.70856,0.70856,26,0.70885,0,0.7069532,2,0,Sell,win,0.410307692,0.001386175
97,Buy win,2020-10-21T02:00:00Z,0.70767,0.707,0.707,16,0.70471,0.70471,9,0.70664,0,0.70841522,8,0,Buy,win,0.325423581,0.001099404
98,Buy win,2020-10-22T22:30:00Z,0.71334,0.71332,0.71332,61,0.7089,0.7089,37,0.7102,15,0.71334,18,0.71334,Buy,win,0,0
99,Buy win,2020-10-26T10:30:00Z,0.71412,0.71409,0.71409,29,0.71052,0.71052,7,0.71048,14,0.71412,58,0.71412,Buy,win,0,0
100,Sell loss,2020-10-27T21:00:00Z,0.7117,0.7145,0.7145,8,0.7122,0.7122,22,0.7152,17,0.7114,0,0.7114,Sell,loss,-1.52173913,-0.005141011
101,Buy loss,2020-10-28T08:00:00Z,0.7152,0.7145,0.7145,25,0.7122,0.7122,39,0.71209,5,0.7159214,0,0.7114,Buy,loss,-1.352173913,-0.004568155
102,Sell win,2020-10-28T08:00:00Z,0.71209,0.7145,0.7145,30,0.7122,0.7122,44,0.71373,0,0.7107786,3,0.7114,Sell,win,0.570173913,0.001926263
103,Buy loss,2020-11-01T23:30:00Z,0.70672,0.7052,0.7052,22,0.7016,0.7016,11,0.70075,20,0.70672,0,0.70672,Buy,loss,-1.658333333,-0.005602477
104,Sell win,2020-11-01T23:30:00Z,0.70075,0.7052,0.7052,42,0.7016,0.7016,31,0.70253,4,0.6993752,14,0.70672,Sell,win,0.381888889,0.001290165
105,Buy win,2020-11-03T23:00:00Z,0.71909,0.71675,0.71675,14,0.69979,0.71408,78,0.7164,0,0.71840006,1,0,Buy,win,0.040680425,0.000137434
106,Buy win,2020-11-05T08:00:00Z,0.72021,0.71965,0.71965,65,0.70741,0.70741,50,0.71847,0,0.72721432,15,0,Buy,win,0.572248366,0.001933272
107,Sell win,2020-11-12T06:00:00Z,0.72616,0.72899,0.72899,10,0.72642,0.72642,29,0.7273,0,0.72483174,3,0,Sell,win,0.516832685,0.001746056
108,Buy win,2020-11-16T08:00:00Z,0.72996,0.72948,0.72948,11,0.72237,0.72842,57,0.72812,5,0.73013508,17,0,Buy,win,0.024624473,8.32E-05
109,Sell loss,2020-11-19T08:30:00Z,0.72696,0.73251,0.72952,31,0.72781,0.72781,62,0.72953,42,0.72679,0,0.72679,Sell,loss,-0.546808511,-0.001847326
110,Buy win,2020-11-20T05:30:00Z,0.72953,0.73251,0.72952,73,0.72781,0.72781,104,0.72813,4,0.73057678,12,0.72679,Buy,win,0.222719149,0.00075243
111,Buy win,2020-11-23T03:00:00Z,0.73183,0.73183,0.73183,24,0.73008,0.73008,10,0.73064,7,0.73244,10,0.73244,Buy,win,0.348571429,0.001177606
112,Buy win,2020-11-24T20:30:00Z,0.7362,0.73598,0.73598,23,0.73266,0.73284,11,0.73251,37,0.73691,46,0.73691,Buy,win,0.213855422,0.000722485
113,Buy win,2020-11-27T04:00:00Z,0.73743,0.73734,0.73734,64,0.73553,0.73553,27,0.73693,0,0.73845858,8,0,Buy,win,0.568276243,0.001919852
114,Buy win,2020-11-27T21:00:00Z,0.73875,0.73844,0.73844,25,0.73691,0.73691,18,0.73765,1,0.73938554,4,0,Buy,win,0.415385621,0.00140333
115,Buy win,2020-12-01T20:30:00Z,0.73692,0.73687,0.73687,29,0.73452,0.73452,20,0.73629,3,0.7383223,5,0,Buy,win,0.596723404,0.002015957
116,Buy win,2020-12-03T07:00:00Z,0.74283,0.74195,0.74195,20,0.73731,0.73731,32,0.74091,5,0.74481752,18,0,Buy,win,0.428344828,0.001447111
117,Buy loss,2020-12-08T15:00:00Z,0.74486,0.74476,0.74476,88,0.73777,0.74076,14,0.74026,46,0.74336,0,0.74336,Buy,loss,-0.658082976,-0.002223253
118,Sell loss,2020-12-08T15:00:00Z,0.74026,0.74476,0.74476,134,0.73777,0.74076,60,0.74513,30,0.74026,0,0.74026,Sell,loss,-0.696709585,-0.002353749
119,Buy win,2020-12-09T06:00:00Z,0.74513,0.74476,0.74476,164,0.73777,0.74076,90,0.74428,0,0.747232,7,0.74026,Buy,win,0.300715308,0.00101593
120,Buy win,2020-12-10T09:00:00Z,0.74883,0.74832,0.74832,39,0.74233,0.74233,29,0.74742,0,0.75202182,12,0,Buy,win,0.532858097,0.001800196
121,Buy win,2020-12-16T09:30:00Z,0.75785,0.75763,0.75763,88,0.75092,0.75092,58,0.75384,19,0.76177678,44,0,Buy,win,0.585213115,0.001977071
122,Sell win,2020-12-21T02:00:00Z,0.7583,0.76357,0.76226,78,0.75847,0.75847,41,0.75938,0,0.75612778,6,0,Sell,win,0.42592549,0.001438937
123,Sell loss,2020-12-22T15:30:00Z,0.75199,0.75686,0.75686,7,0.75298,0.75298,12,0.75738,32,0.75175,0,0.75175,Sell,loss,-1.389175258,-0.00469316
124,Buy win,2020-12-23T07:30:00Z,0.75738,0.75686,0.75686,39,0.75298,0.75298,44,0.75425,11,0.75925784,36,0.75175,Buy,win,0.483979381,0.001635065
125,Buy win,2020-12-29T16:30:00Z,0.76228,0.76202,0.76202,67,0.75663,0.75663,50,0.76008,11,0.76535102,24,0,Buy,win,0.569762523,0.001924873
126,Sell win,2021-01-04T22:00:00+07:00,0.7684,0.77373,0.77373,12,0.76867,0.76867,29,0.77076,0,0.76554292,3,0,Sell,win,0.564640316,0.001907569
127,Buy win,2021-01-06T12:00:00+07:00,0.77774,0.77723,0.77723,20,0.76549,0.77342,73,0.77646,0,0.77958458,4,0,Buy,win,0.15711925,0.000530808
128,Buy loss,2021-01-07T16:00:00+07:00,0.78156,0.78152,0.78152,25,0.77702,0.77702,19,0.77673,19,0.784301,0,0,Buy,loss,-1.073333333,-0.003626126
129,Sell win,2021-01-07T16:00:00+07:00,0.77673,0.78152,0.78152,44,0.77702,0.77702,38,0.77767,0,0.774239,3,0,Sell,win,0.553555556,0.00187012
130,Buy win,2021-01-13T01:00:00+07:00,0.77505,0.77425,0.77425,86,0.76917,0.76917,27,0.77315,0,0.77738944,4,0,Buy,win,0.460519685,0.00155581
131,Buy win,2021-01-14T22:30:00+07:00,0.777,0.77681,0.77681,12,0.77266,0.77429,51,0.77542,0,0.77836736,2,0,Buy,win,0.329484337,0.001113123
132,Sell win,2021-01-18T06:30:00+07:00,0.76831,0.77218,0.77218,14,0.76912,0.76912,17,0.77107,0,0.76722892,17,0,Sell,win,0.353294118,0.001193561
133,Buy win,2021-01-20T09:00:00+07:00,0.77212,0.7718,0.7718,24,0.76883,0.76883,14,0.77093,0,0.77363546,9,0,Buy,win,0.510255892,0.001723837
134,Buy loss,2021-01-21T23:30:00+07:00,0.77807,0.77759,0.77759,17,0.77552,0.77552,8,0.77538,9,0.77886926,0,0,Buy,loss,-1.299516908,-0.00439026
135,Sell win,2021-01-21T23:30:00+07:00,0.77538,0.77759,0.77759,26,0.77552,0.77552,17,0.77645,0,0.77424074,1,0,Sell,win,0.55036715,0.001859348
136,Sell win,2021-01-25T22:30:00+07:00,0.77051,0.77807,0.77432,103,0.77069,0.77069,53,0.77196,15,0.76844666,29,0,Sell,win,0.279585366,0.000944545
137,Sell win,2021-01-27T21:30:00+07:00,0.76632,0.77554,0.77554,29,0.76717,0.76717,62,0.77009,7,0.76632,10,0.76632,Sell,win,0,0
138,Sell win,2021-01-30T02:30:00+07:00,0.76386,0.7692,0.7692,12,0.76406,0.76406,31,0.76531,1,0.76088348,7,0,Sell,win,0.579089494,0.001956383
139,Sell loss,2021-02-02T04:30:00+07:00,0.76187,0.76605,0.76424,31,0.76188,0.76188,12,0.76465,7,0.76042152,0,0,Sell,loss,-0.666666667,-0.002252252
140,Buy win,2021-02-02T08:00:00+07:00,0.76465,0.76605,0.76424,38,0.76188,0.76188,19,0.76313,0,0.76569848,3,0,Buy,win,0.251434053,0.000849439
141,Buy win,2021-02-05T20:30:00+07:00,0.76245,0.76218,0.76218,10,0.75852,0.75852,22,0.76081,0,0.76444188,1,0,Buy,win,0.544229508,0.001838613
142,Buy win,2021-02-15T09:00:00+07:00,0.77696,0.77693,0.77693,74,0.77209,0.77209,24,0.77667,0,0.77992112,47,0,Buy,win,0.611801653,0.002066897
143,Buy win,2021-02-19T12:30:00+07:00,0.77825,0.77825,0.77825,34,0.77405,0.77405,28,0.77722,0,0.7808456,6,0,Buy,win,0.618,0.002087838
144,Buy loss,2021-02-23T16:00:00+07:00,0.79324,0.79287,0.79287,13,0.78596,0.79024,37,0.79005,15,0.79449534,0,0,Buy,loss,-0.461649783,-0.001559628
145,Sell win,2021-02-23T16:00:00+07:00,0.79005,0.79287,0.79287,28,0.78596,0.79024,52,0.79147,0,0.78861466,11,0,Sell,win,0.207719247,0.000701754
146,Buy win,2021-02-25T00:30:00+07:00,0.79406,0.79397,0.79397,32,0.79036,0.79036,8,0.79357,1,0.79620098,6,0,Buy,win,0.593069252,0.002003612
147,Buy win,2021-03-01T22:30:00+07:00,0.77829,0.7769,0.7769,17,0.76948,0.7727,38,0.77357,35,0.7794956,39,0,Buy,win,0.162479784,0.000548918
148,Sell win,2021-03-04T04:30:00+07:00,0.77741,0.78096,0.78096,11,0.77787,0.77787,13,0.77892,2,0.77596038,3,0,Sell,win,0.469132686,0.001584908
149,Sell win,2021-03-09T04:00:00+07:00,0.76419,0.77171,0.76799,20,0.76558,0.76558,34,0.76851,12,0.76419,24,0.76419,Sell,win,0,0
