,time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Max_AFDD,Max_AFDDBar,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,ac,accum_winrate,side,result,profit,prob,results
34,2016-08-29T20:00:00+07:00,114.193,114.281,114.011,114.166,113.5988825,113.5586757,113.5456335,113.5725429,113.656294,113.5771679,3,2,114.838,50,112.309,114.687,145,147,114.166,141,117.146,Sell,35,147,,,Sell,win,0.671999999999997,0.5851721555582622,Sellwin
35,2016-09-19T20:00:00+07:00,113.683,113.944,113.557,113.705,114.6314021,114.6549734,114.6628951,114.6322801,114.5244416,114.7489268,3,1,114.166,24,116.365,113.47,88,90,113.705,2,113.47,Buy,36,90,,,Buy,loss,-0.4609999999999985,-0.40379797838235426,Buyloss
36,2016-10-04T04:00:00+07:00,113.934,114.392,113.855,114.323,113.6721112,113.6127993,113.5542794,113.5171391,113.5519377,112.9069229,3,2,113.705,13,112.078,114.392,12,63,114.323,52,114.398,Sell,37,63,,,Sell,loss,-0.617999999999995,-0.5435117189217669,Sellloss
37,2016-10-19T12:00:00+07:00,113.983,114.016,113.624,113.763,114.485024,114.503497,114.5118802,114.4907004,114.4023313,114.8456883,3,1,114.323,16,116.28,113.624,15,68,113.763,68,113.624,Buy,38,68,,,Buy,loss,-0.5599999999999881,-0.48984018963812015,Buyloss
38,2016-10-28T08:00:00+07:00,114.724,114.795,114.585,114.659,114.0444473,114.0144936,113.980323,113.9535434,113.9817126,114.2921652,3,2,113.763,15,112.61,114.864,39,42,114.659,3,114.864,Sell,39,42,,,Sell,loss,-0.8960000000000008,-0.7876022960013368,Sellloss
39,2016-11-04T16:00:00+07:00,114.343,114.478,114.134,114.281,114.3917697,114.4164332,114.4499328,114.4940751,114.5328972,114.8851078,3,1,114.659,14,115.677,114.011,24,32,114.281,8,114.011,Buy,40,32,,,Buy,loss,-0.3780000000000001,-0.3296732048945134,Buyloss
40,2016-11-09T01:00:00+07:00,115.834,115.963,115.709,115.873,114.6659405,114.7295385,114.814518,114.9313151,115.0944071,114.7356046,3,2,114.281,1,114.134,116.008,14,15,115.873,1,116.008,Sell,41,15,,,Sell,loss,-1.5919999999999987,-1.3930574636203732,Sellloss
41,2017-01-12T05:00:00+07:00,122.128,122.227,121.714,121.806,122.4957161,122.5598457,122.5898092,122.5815707,122.5219107,122.5662786,3,1,115.873,160,124.094,121.245,264,265,121.806,263,113.716,Buy,42,265,,,Buy,win,5.932999999999993,5.120260975378209,Buywin
42,2017-01-21T01:00:00+07:00,122.636,122.691,122.275,122.544,122.0272646,122.0086793,121.9716507,121.9358601,121.9573471,122.2546303,3,2,121.806,21,120.54,122.948,41,42,122.544,1,122.948,Sell,43,42,,,Sell,loss,-0.7379999999999995,-0.6058814836707548,Sellloss
43,2017-02-03T13:00:00+07:00,121.585,121.764,121.498,121.509,121.971911,121.9550418,121.9303855,121.8952694,121.8275089,122.240242,3,1,122.544,29,123.31,121.012,41,57,121.509,16,121.012,Buy,44,57,,,Buy,loss,-1.0349999999999966,-0.8445945945945919,Buyloss
44,2017-02-16T13:00:00+07:00,120.899,121.053,120.786,120.891,121.0016408,120.919062,120.835411,120.7660369,120.7462961,120.6238467,3,2,121.509,20,119.33,121.333,29,55,120.891,54,121.764,Sell,45,55,,,Sell,win,0.617999999999995,0.5086043009159774,Sellwin
45,2017-02-22T01:00:00+07:00,119.709,119.846,119.67,119.671,120.6864211,120.5883698,120.48297,120.3710465,120.2420954,120.2717824,3,1,120.891,2,121.137,119.56,20,21,119.671,1,119.56,Buy,46,21,,,Buy,loss,-1.2199999999999989,-1.009173553035378,Buyloss
46,2017-03-03T01:00:00+07:00,120.29,120.357,120.141,120.182,119.9278274,119.8236312,119.7272492,119.6568499,119.6592745,119.7278927,3,2,119.671,19,118.235,120.489,40,43,120.182,3,120.489,Sell,47,43,,,Sell,loss,-0.5109999999999957,-0.4270040360655427,Sellloss
47,2017-03-22T12:00:00+07:00,120.585,120.635,119.995,120.023,121.142902,121.1994752,121.2542141,121.2793901,121.2144114,121.673846,3,1,120.182,38,122.887,119.995,37,81,120.023,81,119.995,Buy,48,81,,,Buy,loss,-0.15900000000000603,-0.13229934599191728,Buyloss
48,2017-04-20T20:00:00+07:00,117.256,117.817,117.24,117.474,117.2277571,117.0012575,116.7772053,116.5886928,116.51277,116.5212336,3,2,120.023,108,114.851,117.817,107,129,117.474,129,120.654,Sell,49,129,,,Sell,win,2.5489999999999924,2.123759612740885,Sellwin
49,2017-05-30T08:00:00+07:00,123.562,123.564,123.245,123.393,124.1235441,124.3122993,124.4645829,124.5552209,124.5487214,124.6226666,3,1,117.474,107,125.814,122.558,119,165,123.393,159,116.465,Buy,50,165,,,Buy,win,5.918999999999997,5.038561724296437,Buywin
50,2017-06-19T20:00:00+07:00,124.414,124.49,124.198,124.334,123.7734226,123.7665568,123.7461286,123.7347138,123.7845916,123.8372172,3,2,123.393,75,122.399,124.502,86,88,124.334,68,125.312,Sell,51,88,,,Sell,loss,-0.9410000000000025,-0.7626040375061814,Sellloss
51,2017-08-11T00:00:00+07:00,128.499,128.748,128.394,128.536,129.8355402,129.8841748,129.8862708,129.8180314,129.6258725,129.52746,3,1,124.334,190,131.4,128.227,228,229,128.536,219,123.658,Buy,52,229,,,Buy,win,4.201999999999998,3.379606543664644,Buywin
52,2017-08-28T16:00:00+07:00,130.272,130.522,130.245,130.483,129.3069703,129.2921333,129.279572,129.2963529,129.4013181,129.6695627,3,2,128.536,36,127.561,130.71,68,71,130.483,3,130.71,Sell,53,71,,,Sell,loss,-1.9470000000000027,-1.5147507313126305,Sellloss
53,2017-09-06T04:00:00+07:00,129.598,129.641,129.369,129.526,130.068724,130.1380876,130.2176555,130.3002315,130.3342826,130.0707337,3,1,130.483,11,131.708,129.369,10,39,129.526,39,129.369,Buy,54,39,,,Buy,loss,-0.9569999999999936,-0.7334288757922439,Buyloss
54,2017-09-14T00:00:00+07:00,131.487,131.51,131.253,131.295,130.4349624,130.5240133,130.6295582,130.7610458,130.9482984,130.8146225,3,2,129.526,1,129.369,132.014,31,36,131.295,5,132.014,Sell,55,36,,,Sell,loss,-1.768999999999977,-1.3657489615984257,Sellloss
55,2017-09-27T12:00:00+07:00,132.372,132.637,132.321,132.5,132.3105247,132.4957308,132.6824251,132.8425682,132.8984261,132.8562412,3,1,131.295,39,134.409,131.748,52,57,132.5,50,130.6,Buy,56,57,,,Buy,win,1.2050000000000125,0.9177805704710862,Buywin
56,2017-10-12T08:00:00+07:00,133.366,133.493,133.331,133.421,132.5151197,132.5705171,132.6102927,132.6412143,132.6991146,132.6924403,3,2,132.5,39,131.842,133.494,64,66,133.421,2,133.494,Sell,57,66,,,Sell,loss,-0.9209999999999923,-0.6950943396226357,Sellloss
