Index,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
51,Buy win,2019-09-05T10:00:00Z,0.67071,0.66999,0.66999,27,0.6663,0.6663,17,0.66941,0,0.67227042,4,0,Buy,win,0.422878049,0.001871142
52,Sell loss,2019-09-13T07:00:00Z,0.67848,0.68121,0.68121,88,0.67858,0.67858,66,0.68162,8,0.67695466,0,0,Sell,loss,-1.19391635,-0.005282816
53,Buy loss,2019-09-15T21:00:00Z,0.68162,0.68121,0.68121,96,0.67858,0.67858,74,0.67798,6,0.68283534,0,0,Buy,loss,-1.384030418,-0.006124028
54,Sell loss,2019-09-15T21:00:00Z,0.67798,0.68121,0.68121,102,0.67858,0.67858,80,0.68155,11,0.67695466,0,0,Sell,loss,-1.357414449,-0.006006259
55,Buy loss,2019-09-17T03:00:00Z,0.68155,0.68121,0.68121,113,0.67858,0.67858,91,0.67828,19,0.68216,0,0.68216,Buy,loss,-1.243346008,-0.005501531
56,Sell loss,2019-09-17T03:00:00Z,0.67828,0.68121,0.68121,132,0.67858,0.67858,110,0.68158,10,0.67807,0,0.67807,Sell,loss,-1.254752852,-0.005552004
57,Buy win,2019-09-17T13:00:00Z,0.68158,0.68121,0.68121,142,0.67858,0.67858,120,0.67919,19,0.68198,28,0.68198,Buy,win,0.152091255,0.00067297
58,Sell win,2019-09-23T08:00:00Z,0.66985,0.67472,0.67327,26,0.67006,0.67006,12,0.67361,26,0.66807622,47,0,Sell,win,0.380639485,0.001684246
59,Sell loss,2019-10-01T17:00:00Z,0.66579,0.67429,0.67429,17,0.66601,0.66601,100,0.6745,57,0.66545,0,0.66545,Sell,loss,-1.051932367,-0.004654568
60,Buy loss,2019-10-07T07:00:00Z,0.6745,0.67429,0.67429,74,0.66601,0.67149,157,0.67126,29,0.67582,0,0.67582,Buy,loss,-0.391304348,-0.001731435
61,Sell win,2019-10-07T07:00:00Z,0.67126,0.67429,0.67429,103,0.66601,0.67149,186,0.67222,0,0.6697596,1,0.67582,Sell,win,0.181207729,0.000801804
62,Sell win,2019-10-08T10:00:00Z,0.66859,0.67164,0.67164,6,0.66941,0.66941,26,0.66981,0,0.66803186,1,0,Sell,win,0.250286996,0.001107465
63,Sell loss,2019-10-16T02:00:00Z,0.67221,0.67636,0.67636,25,0.67226,0.67226,40,0.67788,31,0.67052,0,0.67052,Sell,loss,-1.382926829,-0.006119145
64,Buy win,2019-10-17T09:00:00Z,0.67788,0.67636,0.67636,56,0.67226,0.67347,71,0.67315,5,0.67788,49,0.67788,Buy,win,0,0
65,Buy win,2019-10-28T08:00:00Z,0.67927,0.67889,0.67889,88,0.67589,0.67589,34,0.67817,0,0.680744,7,0,Buy,win,0.491333333,0.002174041
66,Sell win,2019-11-04T15:00:00Z,0.68071,0.68293,0.68293,6,0.68094,0.68094,17,0.68196,0,0.67971018,4,0,Sell,win,0.502422111,0.002223107
67,Buy win,2019-11-07T14:00:00Z,0.68595,0.68594,0.68594,53,0.68138,0.68138,11,0.68452,0,0.68875808,3,0,Buy,win,0.615807018,0.00272481
68,Sell win,2019-11-12T16:00:00Z,0.67978,0.68857,0.68185,71,0.6799,0.6799,14,0.68032,0,0.6786949,8,0,Sell,win,0.125155709,0.000553786
69,Buy win,2019-11-24T22:00:00Z,0.67738,0.67699,0.67699,56,0.67165,0.67165,45,0.67438,19,0.6778,35,0.6778,Buy,win,0.078651685,0.000348016
70,Buy loss,2019-12-03T13:00:00Z,0.67869,0.67856,0.67856,17,0.67455,0.67589,131,0.67569,10,0.68021006,0,0,Buy,loss,-0.748129676,-0.003310308
71,Sell win,2019-12-03T13:00:00Z,0.67569,0.67856,0.67856,27,0.67455,0.67589,141,0.67667,0,0.67423994,3,0,Sell,win,0.361610973,0.001600049
72,Sell win,2019-12-09T21:00:00Z,0.67396,0.67776,0.67776,32,0.67426,0.67426,48,0.67531,5,0.672097,12,0,Sell,win,0.532285714,0.002355247
73,Buy win,2019-12-12T11:00:00Z,0.67731,0.67666,0.67666,18,0.67015,0.67015,37,0.67614,0,0.68068318,4,0,Buy,win,0.51815361,0.002292715
74,Sell win,2019-12-17T03:00:00Z,0.67486,0.67838,0.67838,12,0.67497,0.67497,76,0.67536,2,0.67286262,5,0,Sell,win,0.585741935,0.002591778
75,Buy win,2019-12-19T00:00:00Z,0.67373,0.67328,0.67328,9,0.67087,0.67141,23,0.67184,0,0.67443566,24,0,Buy,win,0.292804979,0.001295597
76,Buy win,2020-01-10T16:00:00+07:00,0.6702,0.67003,0.67003,26,0.66643,0.66643,16,0.66943,0,0.6722548,10,0,Buy,win,0.570777778,0.002525565
77,Sell win,2020-01-20T16:00:00+07:00,0.66514,0.66727,0.66694,20,0.66524,0.66524,12,0.6664,15,0.66461,16,0.66461,Sell,win,0.261083744,0.001155238
78,Sell win,2020-01-27T05:00:00+07:00,0.66143,0.66571,0.66571,37,0.66178,0.66178,47,0.66173,0,0.65935126,9,0,Sell,win,0.528941476,0.002340449
79,Sell win,2020-01-30T14:00:00+07:00,0.65391,0.66016,0.66016,28,0.65449,0.65449,55,0.65501,0,0.65098594,6,0,Sell,win,0.515707231,0.00228189
80,Buy win,2020-02-11T09:00:00+07:00,0.656,0.65551,0.65551,20,0.65224,0.65224,8,0.65492,0,0.65753086,4,0,Buy,win,0.468152905,0.002071473
81,Buy win,2020-02-13T08:00:00+07:00,0.65799,0.65775,0.65775,35,0.65432,0.65432,31,0.65594,6,0.65986974,13,0,Buy,win,0.548029155,0.002424908
82,Sell win,2020-02-20T08:00:00+07:00,0.65346,0.659,0.659,16,0.65487,0.65487,40,0.65611,0,0.65231766,1,0,Sell,win,0.276595642,0.001223875
83,Buy loss,2020-03-05T20:00:00+07:00,0.63315,0.63313,0.63313,18,0.624,0.62915,34,0.62849,26,0.63459,0,0.63459,Buy,loss,-0.510405257,-0.00225843
84,Sell win,2020-03-05T20:00:00+07:00,0.62849,0.63313,0.63313,44,0.624,0.62915,60,0.63151,0,0.62669036,1,0.63459,Sell,win,0.197112815,0.000872181
85,Sell win,2020-03-12T19:00:00+07:00,0.59777,0.6188,0.6188,69,0.59805,0.59805,83,0.60524,5,0.5852265,28,0,Sell,win,0.604506024,0.002674805
86,Buy win,2020-03-20T13:00:00+07:00,0.5804,0.57789,0.57789,14,0.53849,0.56011,28,0.56174,19,0.58887804,71,0,Buy,win,0.21517868,0.000952118
87,Buy win,2020-03-31T09:00:00+07:00,0.59423,0.59407,0.59407,90,0.57327,0.57327,73,0.58379,28,0.59591,36,0.59591,Buy,win,0.080769231,0.000357386
88,Sell loss,2020-04-04T03:00:00+07:00,0.58472,0.59134,0.59134,16,0.58474,0.58474,56,0.59168,11,0.5806612,0,0,Sell,loss,-1.054545455,-0.00466613
89,Buy win,2020-04-06T14:00:00+07:00,0.59168,0.59134,0.59134,27,0.58474,0.58474,67,0.58905,0,0.5954188,7,0,Buy,win,0.566484848,0.00250657
90,Buy win,2020-04-08T21:00:00+07:00,0.6028,0.60215,0.60215,31,0.59567,0.59567,11,0.60004,0,0.60615464,8,0,Buy,win,0.517691358,0.00229067
91,Buy win,2020-04-23T16:00:00+07:00,0.61917,0.61763,0.61763,66,0.60842,0.60842,42,0.61705,0,0.62332178,9,0,Buy,win,0.450790445,0.001994648
92,Buy win,2020-05-07T13:00:00+07:00,0.62806,0.62777,0.62777,39,0.62256,0.62256,8,0.62652,0,0.63098978,4,0,Buy,win,0.562337812,0.00248822
93,Sell win,2020-05-15T19:00:00+07:00,0.62728,0.63613,0.62971,41,0.62736,0.62736,20,0.63134,15,0.6259077,64,0.62396,Sell,win,0.156476625,0.000692374
94,Buy win,2020-05-26T12:00:00+07:00,0.63846,0.63813,0.63813,64,0.63275,0.63275,40,0.63755,0,0.64145484,3,0,Buy,win,0.55666171,0.002463105
95,Sell loss,2020-05-29T21:00:00+07:00,0.63749,0.64326,0.64326,25,0.63794,0.63794,17,0.64595,11,0.63465224,0,0,Sell,loss,-1.590225564,-0.007036396
96,Buy win,2020-06-01T08:00:00+07:00,0.64595,0.64326,0.64326,36,0.63794,0.63794,28,0.64216,0,0.64654776,1,0,Buy,win,0.112360902,0.000497172
97,Sell loss,2020-06-05T12:00:00+07:00,0.66155,0.66791,0.66791,18,0.66211,0.66155,23,0.66831,20,0.6585256,20,0,Sell,loss,-1.165517241,-0.005157156
98,Buy win,2020-06-05T12:00:00+07:00,0.66831,0.66791,0.66791,18,0.66211,0.66155,23,0.66634,0,0.67184048,7,0,Buy,win,0.608703448,0.002693378
99,Sell win,2020-06-09T13:00:00+07:00,0.66565,0.67262,0.67262,7,0.66797,0.66797,16,0.67017,0,0.6650963,1,0,Sell,win,0.119075269,0.000526882
100,Buy loss,2020-06-26T21:00:00+07:00,0.66168,0.66118,0.65627,79,0.64644,0.65005,21,0.64987,204,0.65789,0,0.65789,Buy,loss,-0.801221167,-0.003545226
101,Sell win,2020-06-26T21:00:00+07:00,0.64987,0.66118,0.65201,79,0.64644,0.65005,21,0.65265,17,0.64883872,23,0.64881,Sell,win,0.069964722,0.000309578
102,Buy win,2020-07-01T19:00:00+07:00,0.65499,0.65488,0.65488,32,0.64937,0.65093,48,0.65243,0,0.6573211,65,0,Buy,win,0.423067151,0.001871979
103,Buy loss,2020-07-07T13:00:00+07:00,0.65789,0.65754,0.65754,18,0.65499,0.65499,14,0.65462,6,0.6591159,0,0,Buy,loss,-1.282352941,-0.005674128
104,Sell win,2020-07-07T13:00:00+07:00,0.65462,0.65754,0.65754,24,0.65499,0.65499,20,0.65728,8,0.6534141,24,0,Sell,win,0.472901961,0.002092487
105,Buy win,2020-07-13T12:00:00+07:00,0.65559,0.6555,0.6555,40,0.65309,0.65309,13,0.65499,1,0.65698938,6,0,Buy,win,0.580655602,0.002569273
106,Buy win,2020-07-15T08:00:00+07:00,0.65879,0.65802,0.65802,35,0.65191,0.65191,18,0.65627,7,0.66179598,11,0,Buy,win,0.491977087,0.00217689
107,Sell win,2020-07-17T17:00:00+07:00,0.65768,0.66271,0.66036,44,0.65829,0.65829,17,0.6584,0,0.65701074,2,0,Sell,win,0.15141629,0.000669984
108,Sell win,2020-07-24T11:00:00+07:00,0.65519,0.6682,0.65968,41,0.65579,0.65579,98,0.66031,46,0.65359,97,0.65359,Sell,win,0.128928284,0.000570479
109,Buy win,2020-08-06T20:00:00+07:00,0.65682,0.65643,0.65643,26,0.65039,0.65197,119,0.65388,0,0.65918628,19,0,Buy,win,0.391768212,0.001733488
110,Buy loss,2020-08-12T09:00:00+07:00,0.65673,0.65657,0.65657,13,0.65449,0.65449,4,0.65435,24,0.65706,0,0.65706,Buy,loss,-1.144230769,-0.005062968
111,Sell win,2020-08-12T09:00:00+07:00,0.65435,0.65657,0.65657,37,0.65449,0.65449,28,0.6554,4,0.65320456,5,0.65706,Sell,win,0.550692308,0.002436692
112,Buy win,2020-08-17T07:00:00+07:00,0.65432,0.65368,0.65368,48,0.64962,0.64962,23,0.65099,7,0.65432,14,0.65432,Buy,win,0,0
113,Sell loss,2020-08-25T15:00:00+07:00,0.65121,0.65972,0.65972,87,0.65126,0.65126,67,0.65992,62,0.64603172,0,0,Sell,loss,-1.029550827,-0.004555535
114,Buy win,2020-08-28T05:00:00+07:00,0.65992,0.65972,0.65972,149,0.65126,0.65126,129,0.65939,0,0.66494828,15,0,Buy,win,0.594359338,0.002629909
115,Sell win,2020-09-03T17:00:00+07:00,0.66463,0.67085,0.66841,34,0.66648,0.66648,20,0.66671,0,0.66528726,1,0,Sell,win,0.150402746,0.000665499
116,Sell win,2020-09-10T15:00:00+07:00,0.66056,0.66492,0.66409,19,0.66101,0.66101,35,0.66418,27,0.66011,48,0.66011,Sell,win,0.115089514,0.000509246
117,Buy win,2020-09-16T20:00:00+07:00,0.66502,0.665,0.665,25,0.66247,0.66247,16,0.6638,0,0.66656354,2,0,Buy,win,0.610094862,0.002699535
118,Buy loss,2020-09-21T18:00:00+07:00,0.6661,0.66607,0.66607,63,0.66308,0.66308,39,0.66307,5,0.66791782,0,0,Buy,loss,-1.013377926,-0.004483973
119,Sell win,2020-09-21T18:00:00+07:00,0.66307,0.66607,0.66607,68,0.66308,0.66308,44,0.66386,0,0.66123218,2,0,Sell,win,0.614655518,0.002719715
120,Buy win,2020-09-28T11:00:00+07:00,0.65571,0.65525,0.65525,20,0.6515,0.6515,13,0.65252,5,0.65571,10,0.65571,Buy,win,0,0
121,Buy win,2020-09-30T19:00:00+07:00,0.65839,0.65758,0.65758,25,0.65284,0.65447,52,0.65664,0,0.65950198,4,0,Buy,win,0.234594937,0.001038031
122,Buy loss,2020-10-12T20:00:00+07:00,0.65857,0.6579,0.6579,14,0.65153,0.65595,65,0.6557,24,0.65889,0,0.65889,Buy,loss,-0.450549451,-0.001993582
123,Sell win,2020-10-12T20:00:00+07:00,0.6557,0.6579,0.6579,38,0.65153,0.65595,89,0.65636,0,0.6547449,8,0.65889,Sell,win,0.149937206,0.000663439
124,Sell win,2020-10-19T19:00:00+07:00,0.64634,0.65008,0.65008,11,0.64657,0.64657,23,0.64711,0,0.64440082,4,0,Sell,win,0.552472934,0.002444571
125,Buy win,2020-10-21T09:00:00+07:00,0.64074,0.64066,0.64066,9,0.63815,0.63874,14,0.63942,6,0.64184656,10,0,Buy,win,0.440860558,0.00195071
126,Buy win,2020-10-27T02:00:00+07:00,0.64709,0.64709,0.64709,45,0.64354,0.64354,12,0.64544,2,0.6492839,33,0,Buy,win,0.618,0.002734513
127,Buy win,2020-11-02T19:00:00+07:00,0.64646,0.64629,0.64629,23,0.64221,0.64221,6,0.64561,0,0.64881144,8,0,Buy,win,0.576333333,0.002550147
128,Buy win,2020-11-11T10:00:00+07:00,0.66862,0.66773,0.66773,18,0.66389,0.66389,12,0.6674,0,0.67010312,6,0,Buy,win,0.386229167,0.001708979
129,Buy win,2020-11-16T18:00:00+07:00,0.66692,0.66529,0.66529,9,0.6608,0.6608,34,0.66424,0,0.66806482,4,0,Buy,win,0.254971047,0.00112819
130,Sell win,2020-11-18T07:00:00+07:00,0.66355,0.66818,0.66669,33,0.66404,0.66404,40,0.66712,9,0.66332,32,0.66332,Sell,win,0.055555556,0.000245821
131,Buy win,2020-11-24T10:00:00+07:00,0.66761,0.66754,0.66754,18,0.66444,0.66444,6,0.66685,2,0.6694558,5,0,Buy,win,0.595419355,0.002634599
132,Sell win,2020-11-26T23:00:00+07:00,0.66739,0.6691,0.6691,4,0.66754,0.66754,11,0.66812,4,0.66657592,5,0,Sell,win,0.521846154,0.002309054
133,Sell win,2020-11-30T15:00:00+07:00,0.66529,0.66942,0.66942,18,0.66638,0.66638,35,0.66872,20,0.66450128,30,0,Sell,win,0.259447368,0.001147997
134,Buy loss,2020-12-03T19:00:00+07:00,0.664,0.66333,0.66333,8,0.65961,0.66212,18,0.66188,5,0.66407778,0,0,Buy,loss,-0.569892473,-0.002521648
135,Sell loss,2020-12-03T19:00:00+07:00,0.66188,0.66333,0.66333,13,0.65961,0.66212,23,0.66352,5,0.66137222,0,0,Sell,loss,-0.440860215,-0.001950709
136,Buy win,2020-12-04T00:00:00+07:00,0.66352,0.66333,0.66333,18,0.65961,0.66212,28,0.66276,0,0.66407778,2,0,Buy,win,0.14994086,0.000663455
137,Sell win,2020-12-07T16:00:00+07:00,0.65974,0.66417,0.66245,49,0.65982,0.65982,21,0.66276,8,0.65854,29,0.65854,Sell,win,0.275862069,0.001220629
138,Buy win,2020-12-10T15:00:00+07:00,0.66539,0.66499,0.66499,20,0.66095,0.66095,10,0.66387,0,0.66748672,8,0,Buy,win,0.518990099,0.002296416
139,Buy win,2020-12-17T09:00:00+07:00,0.67138,0.67133,0.67133,68,0.66606,0.66606,46,0.67045,0,0.67458686,8,0,Buy,win,0.608512334,0.002692532
140,Sell win,2020-12-21T14:00:00+07:00,0.67067,0.67465,0.67394,40,0.67109,0.67109,21,0.67227,0,0.6693287,5,0,Sell,win,0.376769663,0.001667122
141,Buy win,2020-12-23T14:00:00+07:00,0.67252,0.67201,0.67201,36,0.66614,0.66782,46,0.67075,0,0.67459942,7,0,Buy,win,0.354245315,0.001567457
142,Buy win,2020-12-30T17:00:00+07:00,0.67788,0.67781,0.67781,63,0.67189,0.67189,12,0.67613,4,0.68146856,24,0,Buy,win,0.606175676,0.002682193
143,Buy win,2021-01-06T02:00:00+07:00,0.68223,0.68223,0.68223,50,0.67452,0.67452,27,0.68017,8,0.68699478,22,0,Buy,win,0.618,0.002734513
144,Buy win,2021-01-14T16:00:00+07:00,0.68922,0.68912,0.68912,38,0.6862,0.6862,12,0.68803,0,0.69092456,3,0,Buy,win,0.583753425,0.00258298
145,Sell win,2021-01-18T17:00:00+07:00,0.68545,0.69113,0.68716,33,0.68549,0.68549,13,0.68603,0,0.68445794,6,0,Sell,win,0.175897163,0.000778306
146,Buy win,2021-01-20T17:00:00+07:00,0.68772,0.68748,0.68748,30,0.68336,0.68336,13,0.68695,0,0.69002616,5,0,Buy,win,0.559747573,0.002476759
147,Buy win,2021-01-26T19:00:00+07:00,0.68671,0.6856,0.6856,23,0.68235,0.68235,5,0.68533,0,0.6876085,3,0,Buy,win,0.276461538,0.001223281
148,Buy win,2021-01-29T21:00:00+07:00,0.68317,0.6831,0.6831,19,0.67636,0.67892,30,0.67741,8,0.68568324,36,0,Buy,win,0.372884273,0.00164993
149,Buy win,2021-02-04T08:00:00+07:00,0.687,0.68614,0.68614,47,0.68073,0.68073,35,0.6855,0,0.68948338,38,0,Buy,win,0.45903512,0.002031129
150,Sell win,2021-02-10T16:00:00+07:00,0.68842,0.69306,0.69306,42,0.6897,0.6897,15,0.69004,5,0.68762352,7,0,Sell,win,0.237047619,0.001048883
151,Buy win,2021-02-11T20:00:00+07:00,0.69109,0.69082,0.69082,38,0.68702,0.68702,12,0.68858,20,0.6931684,38,0,Buy,win,0.546947368,0.002420121
152,Buy win,2021-02-17T15:00:00+07:00,0.69488,0.69359,0.69359,50,0.69122,0.69122,9,0.69288,0,0.69505466,1,0,Buy,win,0.073696203,0.000326089
153,Buy win,2021-03-11T08:00:00+07:00,0.71992,0.7192,0.7192,41,0.71416,0.71416,20,0.71876,0,0.72231472,6,0,Buy,win,0.475142857,0.002102402
154,Sell win,2021-03-16T17:00:00+07:00,0.71712,0.72228,0.7193,73,0.71755,0.71755,16,0.71812,0,0.7164685,3,0,Sell,win,0.137737844,0.000609459
