time,open,high,low,close,Basis,Upper,Lower,%K,%D
2022-12-26T14:45:00+07:00,16845,16846,16844,16844,16868,16898.93218,16837.06782,24.24242424,26.04617605
2022-12-26T15:00:00+07:00,16845,16845,16839,16840,16865.8,16898.09613,16833.50387,15.71969697,23.56601732
2022-12-26T15:15:00+07:00,16840,16840,16825,16834,16863.45,16897.75729,16829.14271,17.11363636,19.02525253
2022-12-26T15:30:00+07:00,16834,16839,16831,16838,16861.35,16896.4799,16826.2201,31.41666667,21.41666667
2022-12-26T15:45:00+07:00,16839,16840,16838,16840,16858.85,16892.55623,16825.14377,53.14285714,33.89105339
2022-12-26T16:00:00+07:00,16840,16841,16837,16839,16855.55,16882.85183,16828.24817,64.47619048,49.67857143
2022-12-26T16:15:00+07:00,16839,16843,16838,16843,16853.9,16880.02202,16827.77798,80.47619048,66.03174603
2022-12-26T16:30:00+07:00,16843,16848,16843,16847,16852.65,16877.55201,16827.74799,88.03921569,77.66386555
2022-12-26T16:45:00+07:00,16847,16848,16838,16838,16850.8,16874.24014,16827.35986,67.73618538,78.75053052
2022-12-26T17:00:00+07:00,16837,16837,16833,16837,16848.7,16868.96919,16828.43081,43.29174094,66.355714
2022-12-26T17:15:00+07:00,16839,16845,16839,16845,16847.75,16866.80649,16828.69351,38.58585859,49.87126164
2022-12-26T17:30:00+07:00,16845,16859,16844,16856,16847.3,16865.08876,16829.51124,65.04273504,48.97344486
2022-12-26T17:45:00+07:00,16856,16859,16850,16850,16847.05,16864.53685,16829.56315,77.94871795,60.52577053
2022-12-26T18:00:00+07:00,16850,16853,16849,16850,16846.5,16862.85237,16830.14763,73.07692308,72.02279202
2022-12-26T18:15:00+07:00,16850,16863,16850,16863,16846.5,16862.85237,16830.14763,76.92307692,75.98290598
2022-12-26T18:30:00+07:00,16863,16865,16858,16862,16846.4,16862.3424,16830.4576,83.6996337,77.8998779
2022-12-26T18:45:00+07:00,16863,16865,16862,16862,16846.75,16863.7073,16829.7927,88.98809524,83.20360195
2022-12-26T19:00:00+07:00,16863,16864,16854,16857,16847.15,16864.66885,16829.63115,72.32142857,81.66971917
2022-12-26T19:15:00+07:00,16858,16858,16854,16857,16847.55,16865.57748,16829.52252,59.30555556,73.53835979
2022-12-26T19:30:00+07:00,16857,16858,16857,16857,16847.95,16866.43756,16829.46244,41.31313131,57.64670515
2022-12-26T19:45:00+07:00,16856,16857,16855,16856,16848.55,16867.26336,16829.83664,30.70707071,43.77525253
2022-12-26T20:00:00+07:00,16856,16856,16836,16841,16848.6,16867.22686,16829.97314,21.1038961,31.04136604
2022-12-26T20:15:00+07:00,16841,16845,16840,16844,16849.1,16866.63739,16831.56261,24.13419913,25.31505532
2022-12-26T20:30:00+07:00,16846,16850,16839,16840,16849.2,16866.50433,16831.89567,24.13419913,23.12409812
2022-12-26T20:45:00+07:00,16839,16841,16837,16840,16849.2,16866.50433,16831.89567,24.53102453,24.26647427
2022-12-26T21:00:00+07:00,16840,16842,16839,16842,16849.35,16866.34735,16832.35265,22.40981241,23.69167869
2022-12-26T21:15:00+07:00,16842,16843,16839,16841,16849.25,16866.41828,16832.08172,26.60561661,24.51548452
2022-12-26T21:30:00+07:00,16840,16841,16831,16832,16848.5,16867.23499,16829.76501,22.01079622,23.67540841
2022-12-26T21:45:00+07:00,16832,16832,16827,16829,16848.05,16868.15448,16827.94552,16.17746289,21.59795857
2022-12-26T22:00:00+07:00,16829,16832,16829,16832,16847.8,16868.5615,16827.0385,16.3377193,18.17532614
