time,open,high,low,close,Basis,Upper1,Lower1,Upper2.5,Lower2.5,Upper2,Lower2
2018-12-20T18:00:00Z,0.7113,0.71251,0.71064,0.71064,0.7160355,0.719706829,0.712364171,0.725213822,0.706857178,0.723378157,0.708692843
2018-12-20T22:00:00Z,0.71064,0.71235,0.71021,0.71162,0.715717,0.719480116,0.711953884,0.72512479,0.70630921,0.723243232,0.708190768
2018-12-21T02:00:00Z,0.71162,0.71203,0.71049,0.71091,0.7153735,0.719244626,0.711502374,0.725051314,0.705695686,0.723115751,0.707631249
2018-12-21T06:00:00Z,0.71091,0.71196,0.70747,0.70791,0.714775,0.718824343,0.710725657,0.724898356,0.704651644,0.722873685,0.706676315
2018-12-21T10:00:00Z,0.70791,0.71063,0.70721,0.70978,0.7143135,0.718379817,0.710247183,0.724479292,0.704147708,0.722446134,0.706180866
2018-12-21T14:00:00Z,0.70978,0.71091,0.7052,0.70525,0.7136035,0.717941587,0.709265413,0.724448719,0.702758281,0.722279675,0.704927325
2018-12-21T18:00:00Z,0.70525,0.70526,0.70292,0.70301,0.7128,0.717520689,0.708079311,0.724601721,0.700998279,0.722241377,0.703358623
2018-12-23T22:00:00Z,0.7038,0.70576,0.70332,0.7054,0.7122085,0.717075921,0.707341079,0.724377051,0.700039949,0.721943341,0.702473659
2018-12-24T02:00:00Z,0.7054,0.70671,0.70523,0.7063,0.7116325,0.716483384,0.706781616,0.723759711,0.699505289,0.721334269,0.701930731
2018-12-24T06:00:00Z,0.7063,0.7069,0.70565,0.70595,0.7109445,0.715571591,0.706317409,0.722512228,0.699376772,0.720198683,0.701690317
2018-12-24T10:00:00Z,0.70595,0.70648,0.70453,0.70517,0.7102275,0.714574308,0.705880692,0.72109452,0.69936048,0.718921116,0.701533884
2018-12-24T14:00:00Z,0.70517,0.70613,0.70444,0.70454,0.709467,0.713391266,0.705542734,0.719277664,0.699656336,0.717315531,0.701618469
2018-12-24T18:00:00Z,0.70454,0.70563,0.70453,0.70503,0.708821,0.712337935,0.705304065,0.717613337,0.700028663,0.715854869,0.701787131
2018-12-26T02:00:00Z,0.70503,0.70503,0.70442,0.70472,0.7082535,0.711456668,0.705050332,0.716261419,0.700245581,0.714659835,0.701847165
2018-12-26T06:00:00Z,0.70472,0.70572,0.70467,0.70537,0.707986,0.711195404,0.704776596,0.71600951,0.69996249,0.714404808,0.701567192
2018-12-26T10:00:00Z,0.70537,0.70595,0.70502,0.7055,0.707713,0.710889873,0.704536127,0.715655182,0.699770818,0.714066746,0.701359254
2018-12-26T14:00:00Z,0.7055,0.70697,0.70522,0.70523,0.707533,0.710743296,0.704322704,0.71555874,0.69950726,0.713953592,0.701112408
2018-12-26T18:00:00Z,0.70523,0.70714,0.70505,0.7066,0.707167,0.71002635,0.70430765,0.714315374,0.700018626,0.7128857,0.7014483
2018-12-26T22:00:00Z,0.7066,0.70777,0.70587,0.70588,0.7068055,0.709327811,0.704283189,0.713111278,0.700499722,0.711850123,0.701760877
2018-12-27T02:00:00Z,0.70588,0.70641,0.70513,0.70537,0.706509,0.708825711,0.704192289,0.712300777,0.700717223,0.711142422,0.701875578
2018-12-27T06:00:00Z,0.70537,0.70574,0.7035,0.7035,0.706152,0.708351806,0.703952194,0.711651515,0.700652485,0.710551612,0.701752388
2018-12-27T10:00:00Z,0.7035,0.70538,0.7035,0.70391,0.7057665,0.707623086,0.703909914,0.710407966,0.701125034,0.709479673,0.702053327
2018-12-27T14:00:00Z,0.70391,0.70422,0.70169,0.70223,0.7053325,0.70693285,0.70373215,0.709333374,0.701331626,0.708533199,0.702131801
2018-12-27T18:00:00Z,0.70223,0.70355,0.70167,0.70268,0.705071,0.706656039,0.703485961,0.709033598,0.701108402,0.708241078,0.701900922
2018-12-27T22:00:00Z,0.70268,0.70461,0.70257,0.70446,0.704805,0.705967551,0.703642449,0.707711378,0.701898622,0.707130102,0.702479898
2018-12-28T02:00:00Z,0.70446,0.70529,0.70434,0.70468,0.7047765,0.705934771,0.703618229,0.707672179,0.701880821,0.707093043,0.702459957
2018-12-28T06:00:00Z,0.70468,0.70564,0.70412,0.7044,0.704846,0.705935873,0.703756127,0.707570683,0.702121317,0.707025747,0.702666253
2018-12-28T10:00:00Z,0.7044,0.70691,0.70422,0.70554,0.704853,0.705946851,0.703759149,0.707587629,0.702118371,0.707040703,0.702665297
2018-12-28T14:00:00Z,0.70554,0.70567,0.703,0.704,0.704738,0.705793924,0.703682076,0.707377811,0.702098189,0.706849848,0.702626152
2018-12-28T18:00:00Z,0.704,0.70491,0.70356,0.70359,0.70462,0.705665706,0.703574294,0.707234264,0.702005736,0.706711411,0.702528589
2018-12-30T22:00:00Z,0.70419,0.70589,0.70415,0.7052,0.7046215,0.705668015,0.703574985,0.707237786,0.702005214,0.706714529,0.702528471
2018-12-31T02:00:00Z,0.7052,0.70673,0.70502,0.70586,0.7046875,0.70576787,0.70360713,0.707388424,0.701986576,0.706848239,0.702526761
2018-12-31T06:00:00Z,0.70586,0.70712,0.70566,0.70608,0.70474,0.705860504,0.703619496,0.707541261,0.701938739,0.706981009,0.702498991
2018-12-31T10:00:00Z,0.70608,0.70657,0.70462,0.70489,0.7047485,0.705869465,0.703627535,0.707550913,0.701946087,0.70699043,0.70250657
2018-12-31T14:00:00Z,0.70489,0.70562,0.70327,0.70429,0.7046945,0.705810226,0.703578774,0.707483815,0.701905185,0.706925952,0.702463048
2018-12-31T18:00:00Z,0.70429,0.70465,0.70401,0.70423,0.704631,0.705735155,0.703526845,0.707391388,0.701870612,0.706839311,0.702422689
2019-01-02T02:00:00Z,0.70423,0.70423,0.70222,0.70262,0.7045005,0.705677953,0.703323047,0.707444132,0.701556868,0.706855405,0.702145595
2019-01-02T06:00:00Z,0.70262,0.70445,0.70095,0.70154,0.7042475,0.705488555,0.703006445,0.707350139,0.701144861,0.706729611,0.701765389
2019-01-02T10:00:00Z,0.70154,0.70175,0.69819,0.69859,0.703883,0.705578426,0.702187574,0.708121566,0.699644434,0.707273853,0.700492147
2019-01-02T14:00:00Z,0.69859,0.70107,0.69832,0.69985,0.703607,0.705478094,0.701735906,0.708284734,0.698929266,0.707349187,0.699864813
2019-01-02T18:00:00Z,0.69985,0.70006,0.69816,0.69845,0.7033545,0.705537707,0.701171293,0.708812519,0.697896481,0.707720915,0.698988085
2019-01-02T22:00:00Z,0.69845,0.6985,0.67445,0.69365,0.7028415,0.7058741,0.6998089,0.710423,0.69526,0.7089067,0.6967763
2019-01-03T02:00:00Z,0.69365,0.6948,0.69288,0.69425,0.7024425,0.706007533,0.698877467,0.711355082,0.693529918,0.709572566,0.695312434
2019-01-03T06:00:00Z,0.69425,0.69739,0.69334,0.69626,0.7021215,0.705931325,0.698311675,0.711646061,0.692596939,0.709741149,0.694501851
2019-01-03T10:00:00Z,0.69626,0.69882,0.69511,0.69875,0.701836,0.70567373,0.69799827,0.711430326,0.692241674,0.709511461,0.694160539
2019-01-03T14:00:00Z,0.69875,0.70193,0.6981,0.70161,0.7016825,0.705464398,0.697900602,0.711137244,0.692227756,0.709246295,0.694118705
