time,open,high,low,close,%K,%D,,,,,,
2009-10-05T21:00:00Z,0.8777,0.89192,0.87534,0.88996,63.04805859,53.09680114,,,,,,
2009-10-06T21:00:00Z,0.88996,0.89511,0.88672,0.89096,85.13357453,64.34368379,,,,,,
2009-10-07T21:00:00Z,0.89096,0.90904,0.89009,0.90587,92.49865691,80.22676334,,,,,,
2009-10-08T21:00:00Z,0.90587,0.90839,0.90126,0.90353,90.32886759,89.32036635,,,,,,
2009-10-11T21:00:00Z,0.90353,0.90827,0.89834,0.90705,91.97518714,91.60090388,,,,,,
2009-10-12T21:00:00Z,0.90705,0.91262,0.90321,0.90837,88.52969731,90.27791735,,,,,,
2009-10-13T21:00:00Z,0.90837,0.91575,0.90529,0.9148,91.32780958,90.61089801,,,,,,
2009-10-14T21:00:00Z,0.9148,0.92279,0.91458,0.92027,89.86057493,89.90602728,,,,,,
2009-10-15T21:00:00Z,0.92027,0.92701,0.91229,0.91688,83.55263013,88.24700488,,,,,,
2009-10-18T21:00:00Z,0.91688,0.92934,0.91128,0.92887,84.18715064,85.86678524,,,,,,
2009-10-19T21:00:00Z,0.92887,0.93104,0.91813,0.92365,78.05639042,81.93205706,,,,,,
2009-10-20T21:00:00Z,0.92365,0.93284,0.91923,0.92837,82.92314449,81.72222852,,,,,,
2009-10-21T21:00:00Z,0.92837,0.92983,0.91849,0.92665,73.95251905,78.31068465,,,,,,
2009-10-22T21:00:00Z,0.92665,0.92954,0.91989,0.92199,66.74397032,74.53987795,,,,,,
2009-10-25T21:00:00Z,0.92199,0.92765,0.91249,0.91595,45.98906885,62.2285194,,,,,,
2009-10-26T21:00:00Z,0.91595,0.92179,0.91214,0.91645,29.16634591,47.29979502,,,,,,
2009-10-27T21:00:00Z,0.91645,0.9206,0.89615,0.89695,13.39966998,29.51836158,,,,,,
2009-10-28T21:00:00Z,0.89695,0.91814,0.89428,0.9148,27.13093644,23.23231744,,,,,,
2009-10-29T21:00:00Z,0.9148,0.91754,0.89789,0.90024,26.14396897,22.22485847,,,,,,
2009-11-01T22:00:00Z,0.90024,0.91219,0.89052,0.90377,39.47649712,30.91713418,,,,,,
2009-11-02T22:00:00Z,0.90377,0.90911,0.89158,0.90177,32.54450031,32.72165546,,,,,,
2009-11-03T22:00:00Z,0.90177,0.91437,0.89494,0.90967,49.70232113,40.57443952,,,,,,
2009-11-04T22:00:00Z,0.90967,0.91241,0.90246,0.91,59.60960889,47.28547678,,,,,,
2009-11-05T22:00:00Z,0.91,0.91979,0.90907,0.91769,78.08465974,62.46552992,,,,,,
2009-11-08T22:00:00Z,0.91769,0.93079,0.91769,0.92947,87.18455834,74.95960899,,,,,,
2009-11-09T22:00:00Z,0.92947,0.93229,0.92548,0.93025,94.66569433,86.6449708,,,,,,
2009-11-10T22:00:00Z,0.93025,0.93434,0.92709,0.92957,92.06976854,91.30667374,,,,,,
2009-11-11T22:00:00Z,0.92957,0.93699,0.92109,0.92332,76.8714919,87.86898492,,,,,,
2009-11-12T22:00:00Z,0.92332,0.93429,0.92236,0.93419,73.85618369,80.93248138,,,,,,
2009-11-15T22:00:00Z,0.93419,0.9406,0.93159,0.93667,72.12913126,74.28560229,,,,,,
2009-11-16T22:00:00Z,0.93667,0.93759,0.92367,0.93042,71.05678059,72.34736518,,,,,,
2009-11-17T22:00:00Z,0.93042,0.93368,0.92654,0.92907,56.19340509,66.45977231,,,,,,
2009-11-18T22:00:00Z,0.92907,0.93014,0.91314,0.91817,35.68042807,54.31020459,,,,,,
2009-11-19T22:00:00Z,0.91817,0.9215,0.90602,0.91549,28.86847547,40.24743621,,,,,,
2009-11-22T22:00:00Z,0.91549,0.92769,0.91115,0.92365,33.84916026,32.7993546,,,,,,
2009-11-23T22:00:00Z,0.92365,0.92554,0.91309,0.91857,42.86743562,35.19502378,,,,,,
2009-11-24T22:00:00Z,0.91857,0.93219,0.91857,0.93209,66.94480593,47.88713394,,,,,,
2009-11-25T22:00:00Z,0.93209,0.93216,0.90945,0.91364,58.03585729,55.94936628,,,,,,
2009-11-26T22:00:00Z,0.91364,0.91364,0.89455,0.90735,54.24718972,59.74261765,,,,,,
2009-11-29T22:00:00Z,0.90735,0.91936,0.90735,0.91594,39.98384294,50.75562998,,,,,,
