time,open,high,low,close,Basis,Upper1,Lower1,Upper2.5,Lower2.5,Upper2,Lower2
1480701600,0.74517,0.74598,0.74431,0.74529,0.743006,0.746232369,0.739779631,0.751071921,0.734940079,0.749458737,0.736553263
1480888800,0.745,0.74602,0.7412,0.74244,0.742771,0.745855761,0.739686239,0.750482902,0.735059098,0.748940522,0.736601478
1480903200,0.74244,0.74561,0.74226,0.74462,0.742585,0.745431297,0.739738703,0.749700742,0.735469258,0.748277593,0.736892407
1480917600,0.74462,0.74515,0.74279,0.74282,0.7423035,0.744814478,0.739792522,0.748580946,0.736026054,0.747325457,0.737281543
1480932000,0.74282,0.74432,0.74139,0.74408,0.7421365,0.744400566,0.739872434,0.747796664,0.736476336,0.746664631,0.737608369
1480946400,0.74408,0.74938,0.74376,0.74925,0.742274,0.74485957,0.73968843,0.748737926,0.735810074,0.747445141,0.737102859
1480960800,0.74925,0.74981,0.74669,0.7471,0.7424075,0.74516421,0.73965079,0.749299274,0.735515726,0.74792092,0.73689408
1480975200,0.7471,0.7483,0.74511,0.74517,0.742699,0.74542399,0.73997401,0.749511474,0.735886526,0.748148979,0.737249021
1480989600,0.74517,0.74641,0.74437,0.74512,0.743036,0.745619094,0.740452906,0.749493735,0.736578265,0.748202188,0.737869812
1481004000,0.74512,0.74596,0.74312,0.74424,0.7432815,0.745730553,0.740832447,0.749404134,0.737158866,0.748179607,0.738383393
1481018400,0.74424,0.7465,0.74352,0.74563,0.743479,0.745950111,0.741007889,0.749656777,0.737301223,0.748421222,0.738536778
1481032800,0.74563,0.74639,0.74442,0.74523,0.743755,0.746094497,0.741415503,0.749603742,0.737906258,0.748433993,0.739076007
1481047200,0.74523,0.74617,0.74461,0.7461,0.7440635,0.746281944,0.741845056,0.749609609,0.738517391,0.748500388,0.739626612
1481061600,0.7461,0.7474,0.74166,0.74282,0.7442025,0.746244572,0.742160428,0.74930768,0.73909732,0.748286644,0.740118356
1481076000,0.74282,0.74398,0.74236,0.74339,0.7443,0.746252432,0.742347568,0.74918108,0.73941892,0.748204864,0.740395136
1481090400,0.74339,0.74492,0.74173,0.74454,0.7444355,0.746304046,0.742566954,0.749106865,0.739764135,0.748172592,0.740698408
1481104800,0.74454,0.74634,0.74421,0.74502,0.744658,0.746304796,0.743011204,0.748774989,0.740541011,0.747951591,0.741364409
1481119200,0.74502,0.74834,0.74468,0.74739,0.7448995,0.746574828,0.743224172,0.749087821,0.740711179,0.748250157,0.741548843
1481133600,0.74739,0.74831,0.747,0.74806,0.745174,0.746894315,0.743453685,0.749474788,0.740873212,0.74861463,0.74173337
1481148000,0.74806,0.75053,0.74744,0.74836,0.7453335,0.747188648,0.743478352,0.749971369,0.740695631,0.749043795,0.741623205
