time,open,high,low,close,Basis,Upper,Lower,%K,%D
2022-04-28T09:00:00+07:00,979.57,981.52,979.57,980.76,980.26,985.29,975.23,68.79828894,52.17185528
2022-04-28T10:00:00+07:00,980.16,981.91,977.43,979.05,978.865,982.5,975.23,67.59423213,61.36409268
2022-04-28T11:00:00+07:00,978.54,980.3,977.29,979.82,978.865,982.5,975.23,69.30478191,68.56576766
2022-04-28T12:00:00+07:00,979.5,979.96,978.15,979.55,978.57,981.91,975.23,56.30492185,64.40131197
2022-04-28T14:00:00+07:00,979.48,982.09,979.48,980.76,978.66,982.09,975.23,61.34026783,62.3166572
2022-04-28T15:00:00+07:00,980.84,984.53,980.14,983.86,979.88,984.53,975.23,70.65175731,62.765649
2022-04-28T16:00:00+07:00,984.1,984.84,982.94,983.54,980.565,984.84,976.29,81.93965999,71.31056171
2022-04-29T09:00:00+07:00,983.67,985.46,983.67,985.35,981.375,985.46,977.29,90.67417512,81.08853081
2022-04-29T10:00:00+07:00,985.08,989.31,985.08,986.32,983.3,989.31,977.29,83.61985948,85.41123153
2022-04-29T11:00:00+07:00,986.44,987.19,984.6,985.77,983.3,989.31,977.29,76.49132585,83.59512015
2022-04-29T12:00:00+07:00,986.16,987.31,984.13,984.71,983.3,989.31,977.29,52.92175491,71.01098008
2022-04-29T14:00:00+07:00,984.79,986.29,983.83,985.45,983.73,989.31,978.15,40.24754632,56.55354236
2022-04-29T15:00:00+07:00,985.01,986.99,984.03,985.97,984.395,989.31,979.48,32.7992926,41.98953128
2022-04-29T16:00:00+07:00,985.88,986.43,983.5,983.56,984.725,989.31,980.14,24.06206058,32.36963316
2022-05-03T09:00:00+07:00,983.39,983.39,980.94,980.94,985.125,989.31,980.94,13.54196601,23.46777306
2022-05-03T10:00:00+07:00,982.86,982.86,976.98,980.63,983.145,989.31,976.98,12.67944654,16.76115771
2022-05-03T11:00:00+07:00,981.04,981.73,978.8,980.39,983.145,989.31,976.98,23.50982351,16.57707869
2022-05-03T12:00:00+07:00,981.09,981.41,978.63,978.63,982.145,987.31,976.98,29.32992933,21.83973313
