time,open,high,low,close,Basis90,Upper90,Lower90,Basis20,Upper20,Lower20,RSI
2021-04-14T07:00:00+07:00,7.295,7.393,6.367,7.339,4.520944444,7.900367924,1.141520965,6.1096,8.075042179,4.144157821,61.5520673
2021-04-15T07:00:00+07:00,7.339,7.603,7,7.37,4.583888889,7.962200847,1.205576931,6.2482,8.1578748,4.3385252,61.78429837
2021-04-16T07:00:00+07:00,7.37,7.497,6.426,6.662,4.638244444,7.991034199,1.28545469,6.34915,8.116918907,4.581381093,53.79280781
2021-04-17T07:00:00+07:00,6.668,7.2,6.5,6.501,4.690255556,8.01163996,1.368871151,6.4278,8.07125424,4.78434576,52.14119607
2021-04-18T07:00:00+07:00,6.501,6.55,5.01,6.257,4.7385,8.023171744,1.453828256,6.47955,8.030444384,4.928655616,49.65303668
2021-04-19T07:00:00+07:00,6.257,6.664,5.652,5.763,4.782555556,8.014221244,1.550889867,6.49725,8.00638669,4.98811331,44.97376501
2021-04-20T07:00:00+07:00,5.763,6.123,5.055,5.937,4.828155556,8.007450668,1.648860443,6.5189,7.982144874,5.055655126,46.87289875
2021-04-21T07:00:00+07:00,5.943,6.528,5.736,5.938,4.877022222,7.987099134,1.76694531,6.55295,7.92607002,5.17982998,46.8842448
2021-04-22T07:00:00+07:00,5.938,7.428,5.81,6.516,4.930811111,7.984449551,1.877172671,6.58235,7.925540869,5.239159131,53.11669943
2021-04-23T07:00:00+07:00,6.516,6.787,5.099,5.784,4.9755,7.959254179,1.991745821,6.5873,7.917897174,5.256702826,45.78904068
2021-04-24T07:00:00+07:00,5.784,6.143,5.032,5.781,5.017811111,7.937365535,2.098256687,6.5491,7.925442239,5.172757761,45.76117779
2021-04-25T07:00:00+07:00,5.781,7.6,5.74,7.473,5.079722222,7.968427646,2.191016799,6.6175,8.034142863,5.200857137,60.39796973
2021-04-26T07:00:00+07:00,7.473,11.204,7.22,9.531,5.160911111,8.133522423,2.188299799,6.77625,8.67100348,4.88149652,70.74059579
2021-04-27T07:00:00+07:00,9.531,11.391,9.512,10.386,5.255311111,8.343784861,2.166837362,7.01205,9.405579902,4.618520098,73.80178707
2021-04-28T07:00:00+07:00,10.386,10.432,9,9.647,5.341122222,8.483284646,2.198959799,7.1907,9.801049946,4.580350054,67.252467
2021-04-29T07:00:00+07:00,9.647,9.772,8.51,9.234,5.422777778,8.583342323,2.262213232,7.3014,10.05713877,4.545661232,63.84265396
2021-04-30T07:00:00+07:00,9.234,9.984,8.862,9.604,5.506533333,8.70611385,2.306952816,7.4292,10.35773476,4.50066524,65.52887373
2021-05-01T07:00:00+07:00,9.603,10.588,9.1,10.555,5.596533333,8.901652315,2.291414351,7.551,10.77216985,4.32983015,69.46990002
2021-05-02T07:00:00+07:00,10.555,11.191,9.523,10.687,5.683622222,9.105558433,2.261686012,7.713,11.21095586,4.21504414,69.98288066
2021-05-03T07:00:00+07:00,10.687,12.89,10.687,11.721,5.780844444,9.38151095,2.180177939,7.9343,11.83528301,4.033316991,73.70940865
2021-05-04T07:00:00+07:00,11.721,12.505,10.19,10.26,5.863244444,9.530121315,2.196367574,8.08035,12.09821582,4.062484185,61.99758534
2021-05-05T07:00:00+07:00,10.26,11.724,10.052,11.188,5.955611111,9.733854427,2.177367796,8.27125,12.49357788,4.048922117,65.7230945
2021-05-06T07:00:00+07:00,11.188,11.212,10.066,10.324,6.035433333,9.875410012,2.195456655,8.45435,12.69920214,4.209497858,59.84110189
2021-05-07T07:00:00+07:00,10.324,10.791,9.582,10.15,6.115955556,9.993560462,2.238350649,8.6368,12.8436454,4.429954598,58.70169896
2021-05-08T07:00:00+07:00,10.15,11.392,9.981,10.829,6.204311111,10.14456095,2.264061275,8.8654,13.02676696,4.704033042,61.7614388
2021-05-09T07:00:00+07:00,10.829,10.847,9.834,10.292,6.284011111,10.26141208,2.306610145,9.09185,13.04076338,5.142936617,58.09550958
2021-05-10T07:00:00+07:00,10.292,10.62,8.688,9.171,6.348488889,10.32285724,2.374120542,9.25355,12.92778007,5.579319932,51.25596623
2021-05-11T07:00:00+07:00,9.171,9.775,8.715,9.763,6.409855556,10.4224763,2.397234815,9.4448,12.79248485,6.097115152,54.31483283
2021-05-12T07:00:00+07:00,9.763,10.209,8.3,8.433,6.457722222,10.46295023,2.452494216,9.54065,12.64861057,6.432689429,47.15530693
2021-05-13T07:00:00+07:00,8.429,9.256,7.561,8.243,6.502922222,10.49588369,2.509960757,9.6636,12.33066718,6.996532817,46.21803854
2021-05-14T07:00:00+07:00,8.243,9.206,8.024,8.743,6.554366667,10.54213803,2.566595299,9.8117,11.85622861,7.767171389,49.08598993
2021-05-15T07:00:00+07:00,8.743,8.915,7.8,7.884,6.5994,10.5545423,2.644257695,9.83225,11.78870341,7.875796589,44.67803583
2021-05-16T07:00:00+07:00,7.884,10.513,7.825,9.732,6.667,10.62602363,2.707976372,9.8423,11.79452069,7.890079306,54.20566332
2021-05-17T07:00:00+07:00,9.727,10.914,8.295,9.212,6.729133333,10.67041005,2.787856617,9.7836,11.73749779,7.829702214,51.51707425
2021-05-18T07:00:00+07:00,9.212,10.384,9.076,9.603,6.793311111,10.73157604,2.855046184,9.7814,11.73600701,7.826792991,53.38915608
2021-05-19T07:00:00+07:00,9.603,9.77,4.7,5.411,6.809088889,10.71355284,2.904624941,9.59025,12.31687523,6.863624769,36.92640957
2021-05-20T07:00:00+07:00,5.411,6.655,4.674,6.506,6.824577778,10.71301666,2.936138891,9.43535,12.47524982,6.395450181,41.96081374
2021-05-21T07:00:00+07:00,6.506,7.032,4.688,5.546,6.835466667,10.70398317,2.966950164,9.1849,12.61488186,5.75491814,39.02023884
2021-05-22T07:00:00+07:00,5.546,5.581,4.616,4.812,6.835377778,10.70407988,2.966675675,8.89115,12.73729213,5.045007867,36.89149174
2021-05-23T07:00:00+07:00,4.812,4.987,3.006,3.824,6.814355556,10.72746671,2.901244406,8.4963,12.70376656,4.288833442,34.18783637
2021-05-24T07:00:00+07:00,3.824,4.794,3.665,4.741,6.789255556,10.72618901,2.852322101,8.22035,12.64714447,3.793555527,38.67969901
2021-05-25T07:00:00+07:00,4.741,4.912,4.122,4.615,6.762477778,10.72533191,2.799623641,7.8917,12.36414748,3.419252522,38.2929537
2021-05-26T07:00:00+07:00,4.615,5.552,4.48,5.479,6.756788889,10.72552233,2.78805545,7.64945,12.09344075,3.20545925,42.53589024
2021-05-27T07:00:00+07:00,5.479,5.484,4.87,5.076,6.7523,10.72770809,2.776891912,7.39575,11.81904944,2.972450558,41.11579821
2021-05-28T07:00:00+07:00,5.076,5.152,4.145,4.341,6.741944444,10.73751672,2.746372169,7.07135,11.3903192,2.752380805,38.58560736
2021-05-29T07:00:00+07:00,4.341,4.554,3.871,4.066,6.731688889,10.74988002,2.713497757,6.76005,11.00242818,2.517671824,37.65200341
2021-05-30T07:00:00+07:00,4.066,4.447,3.83,4.309,6.716488889,10.76078863,2.67218915,6.51695,10.73599911,2.29790089,39.05524339
2021-05-31T07:00:00+07:00,4.309,4.792,4.071,4.761,6.710633333,10.76470333,2.656563341,6.26685,10.27427802,2.259421983,41.68436863
2021-06-01T07:00:00+07:00,4.761,4.903,4.393,4.587,6.702311111,10.77068424,2.633937987,6.07455,10.01631359,2.132786411,40.95197382
2021-06-02T07:00:00+07:00,4.587,5.15,4.419,4.891,6.701466667,10.77131147,2.631621863,5.90695,9.749457539,2.064442461,42.84153775
2021-06-03T07:00:00+07:00,4.891,5.376,4.749,5.295,6.7065,10.76824609,2.644753914,5.73455,9.355632406,2.113467594,45.34465565
2021-06-04T07:00:00+07:00,5.295,5.327,4.467,4.714,6.6996,10.77273604,2.626463957,5.57605,9.082619005,2.069480995,42.46456039
2021-06-05T07:00:00+07:00,4.714,5.085,4.43,4.603,6.683844444,10.7782728,2.58941609,5.3196,8.280670914,2.358529086,41.91678783
2021-06-06T07:00:00+07:00,4.603,4.826,4.567,4.801,6.669511111,10.78113625,2.557885974,5.09905,7.464849102,2.733250898,43.32128392
2021-06-07T07:00:00+07:00,4.801,5.273,4.423,4.469,6.647611111,10.78480977,2.510412449,4.84235,6.00669759,3.67800241,41.50882599
2021-06-08T07:00:00+07:00,4.469,4.526,3.801,4.274,6.629922222,10.79386395,2.465980497,4.7855,5.944253382,3.626746618,40.43867575
2021-06-09T07:00:00+07:00,4.274,4.563,4.041,4.501,6.615177778,10.79972026,2.430635296,4.68525,5.53770126,3.83279874,42.30346586
2021-06-10T07:00:00+07:00,4.501,4.584,4.134,4.203,6.600933333,10.80942709,2.392439575,4.6181,5.397183795,3.839016205,40.51035654
