,time,open,high,low,close,EMA,EMA75,EMA60,EMA45,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,ac,accum_winrate,side,result,profit,prob,results
10,2016-08-26T12:00:00+07:00,1.47885,1.48055,1.47785,1.47932,1.472885597,1.473964373,1.475508473,1.47751319,1.47964106,1.476715766,3,2,1.51914,242,1.43991,310,1.47932,4,1.53649,Sell,11,310,,,Sell,win,0.03981999999999997,2.6212199007333075,Sellwin
11,2016-09-28T16:00:00+07:00,1.46222,1.46618,1.46123,1.46519,1.475800592,1.475099757,1.473931001,1.472081767,1.469377354,1.470776957,3,1,1.47932,83,1.50966,139,1.46519,138,1.45599,Buy,12,139,,,Buy,loss,-0.014129999999999976,-0.9551685909742298,Buyloss
12,2016-12-29T21:00:00+07:00,1.45237,1.45492,1.45122,1.4531,1.439256498,1.440708819,1.442673268,1.445285826,1.448510397,1.4456,3,2,1.46519,187,1.40744,392,1.4531,179,1.48819,Sell,13,392,,,Sell,win,0.012089999999999934,0.8251489567905824,Sellwin
13,2017-01-17T17:00:00+07:00,1.41668,1.42029,1.41462,1.41726,1.431243391,1.430090559,1.428362028,1.425818484,1.422359654,1.423511664,3,1,1.4531,2,1.47191,71,1.41726,70,1.41295,Buy,14,71,,,Buy,loss,-0.035840000000000094,-2.4664510357167497,Buyloss
14,2017-03-13T04:00:00+07:00,1.41318,1.41841,1.41318,1.41759,1.393200867,1.394025296,1.395647513,1.398354607,1.402465915,1.40714,3,2,1.41726,156,1.36265,232,1.41759,65,1.42909,Sell,15,232,,,Sell,loss,-0.00032999999999994145,-0.023284365606871107,Sellloss
15,2017-06-15T20:00:00+07:00,1.47189,1.47287,1.4695,1.47148,1.490383554,1.489870838,1.48854584,1.486220996,1.482767003,1.47921906,3,1,1.41759,349,1.52268,412,1.47148,35,1.3873,Buy,16,412,,,Buy,win,0.05388999999999999,3.8015223019349738,Buywin
16,2017-07-07T12:00:00+07:00,1.50464,1.5055,1.5022,1.50381,1.488099186,1.488791889,1.489890609,1.491640076,1.494289753,1.497297525,3,2,1.47148,17,1.4626,95,1.50381,93,1.50746,Sell,17,95,,,Sell,loss,-0.03233000000000019,-2.1971076739065563,Sellloss
17,2017-07-20T04:00:00+07:00,1.44759,1.44921,1.44633,1.44817,1.477587944,1.475955168,1.473612479,1.470076946,1.464608551,1.462910623,3,1,1.50381,0,1.5055,52,1.44817,0,1.44633,Buy,18,52,,,Buy,loss,-0.055640000000000134,-3.6999354971705287,Buyloss
18,2017-08-09T08:00:00+07:00,1.49169,1.49376,1.48945,1.49109,1.481304401,1.482125509,1.483406611,1.485271353,1.487588202,1.4827206,3,2,1.44817,2,1.44176,86,1.49109,68,1.49654,Sell,19,86,,,Sell,loss,-0.04292000000000007,-2.963740444837282,Sellloss
19,2017-12-26T21:00:00+07:00,1.53636,1.53784,1.53537,1.53645,1.546350014,1.545504454,1.544197457,1.542481869,1.54059117,1.540746488,3,1,1.49109,492,1.57712,590,1.53645,38,1.47328,Buy,20,590,,,Buy,win,0.04536000000000007,3.0420698951773577,Buywin
