time,open,high,low,close,%K,%D,ATR
2020-06-26T04:00:00+07:00,1.2418,1.24244,1.24096,1.2416,68.37586927,62.90471835,0.002314286
2020-06-26T05:00:00+07:00,1.2416,1.24229,1.24151,1.24219,65.08515815,65.51230062,0.002099286
2020-06-26T06:00:00+07:00,1.24219,1.24305,1.24218,1.24243,69.22725061,67.56275934,0.002017143
2020-06-26T07:00:00+07:00,1.24243,1.2425,1.24103,1.24192,66.04677121,66.78639332,0.001937143
2020-06-26T08:00:00+07:00,1.24192,1.24238,1.24147,1.24182,54.0937799,63.12260057,0.001697143
2020-06-26T09:00:00+07:00,1.24182,1.24212,1.24158,1.24185,42.55846637,54.23300583,0.00156
2020-06-26T10:00:00+07:00,1.24185,1.24268,1.24148,1.24263,53.65010185,50.10078271,0.001324286
2020-06-26T11:00:00+07:00,1.24263,1.24371,1.24229,1.24297,64.06334663,53.42397162,0.001285
2020-06-26T12:00:00+07:00,1.24297,1.24341,1.24267,1.2428,70.32366016,62.67903622,0.001195714
2020-06-26T13:00:00+07:00,1.2428,1.24285,1.2406,1.24061,44.02820104,59.47173594,0.001235714
2020-06-26T14:00:00+07:00,1.24061,1.24174,1.23989,1.24166,35.34387398,49.89857839,0.001279286
2020-06-26T15:00:00+07:00,1.24166,1.24188,1.24,1.24071,22.70753018,34.02653506,0.001341429
2020-06-26T16:00:00+07:00,1.24071,1.24164,1.23777,1.23884,28.92422611,28.99187676,0.001467143
2020-06-26T17:00:00+07:00,1.23884,1.24147,1.23846,1.24123,36.182612,29.2714561,0.001590714
2020-06-26T18:00:00+07:00,1.24123,1.24177,1.23872,1.23884,37.70531023,34.27071611,0.001702857
2020-06-26T19:00:00+07:00,1.23884,1.23967,1.23668,1.23729,35.29168957,36.39320393,0.001860714
2020-06-26T20:00:00+07:00,1.23729,1.23781,1.23558,1.23574,13.44988224,28.81562735,0.001957857
2020-06-26T21:00:00+07:00,1.23574,1.23604,1.23143,1.232,6.609385327,18.45031904,0.002182143
2020-06-26T22:00:00+07:00,1.232,1.23363,1.23158,1.23352,9.436717569,9.831995044,0.002263571
2020-06-26T23:00:00+07:00,1.23352,1.23514,1.23227,1.23478,22.12689277,12.72433189,0.00243
2020-06-27T00:00:00+07:00,1.23478,1.23557,1.23405,1.23418,34.65718468,22.07359834,0.002452857
2020-06-27T01:00:00+07:00,1.23418,1.2347,1.23354,1.23419,47.87621208,34.88676317,0.002434286
2020-06-27T02:00:00+07:00,1.23419,1.23473,1.23359,1.23397,54.29101527,45.60813734,0.002462857
2020-06-27T03:00:00+07:00,1.23397,1.23434,1.23294,1.23294,46.69087594,49.61936776,0.002402143
2020-06-29T04:00:00+07:00,1.2334,1.23447,1.23334,1.23358,34.84579348,45.2758949,0.002379286
2020-06-29T05:00:00+07:00,1.23358,1.23417,1.23251,1.23408,38.45278393,39.99648445,0.002363571
2020-06-29T06:00:00+07:00,1.23408,1.23454,1.23342,1.23404,54.65808013,42.65221918,0.002167143
2020-06-29T07:00:00+07:00,1.23404,1.23555,1.23325,1.2355,79.33163427,57.48083278,0.002116429
2020-06-29T08:00:00+07:00,1.2355,1.23598,1.23504,1.23565,85.92136521,73.3036932,0.001965714
2020-06-29T09:00:00+07:00,1.23565,1.23732,1.23525,1.23673,92.19302148,85.81534032,0.0019
2020-06-29T10:00:00+07:00,1.23673,1.23726,1.23635,1.23675,88.07296242,88.72911637,0.001805714
2020-06-29T11:00:00+07:00,1.23675,1.23701,1.23611,1.2367,86.16518617,88.81039002,0.001540714
2020-06-29T12:00:00+07:00,1.2367,1.23846,1.23662,1.23746,80.50730156,84.91515005,0.001525714
2020-06-29T13:00:00+07:00,1.23746,1.23896,1.23707,1.23773,74.12439329,80.26562701,0.001455714
2020-06-29T14:00:00+07:00,1.23773,1.23803,1.23522,1.23593,52.19685077,68.94284854,0.001547857
2020-06-29T15:00:00+07:00,1.23593,1.23612,1.23305,1.23309,28.83571245,51.71898551,0.001684286
2020-06-29T16:00:00+07:00,1.23309,1.23364,1.23142,1.23296,13.36172645,31.46476323,0.001761429
2020-06-29T17:00:00+07:00,1.23296,1.23353,1.23159,1.23199,9.553634611,17.25035784,0.0018
2020-06-29T18:00:00+07:00,1.23199,1.23231,1.23034,1.2316,14.78966679,12.56834262,0.001831429
2020-06-29T19:00:00+07:00,1.2316,1.23305,1.22988,1.23212,19.94734436,14.76354858,0.001939286
2020-06-29T20:00:00+07:00,1.23212,1.23222,1.22953,1.23,21.2392915,18.65876755,0.002051429
2020-06-29T21:00:00+07:00,1.23,1.23047,1.22651,1.22656,16.01506991,19.06723525,0.00217
2020-06-29T22:00:00+07:00,1.22656,1.2279,1.22516,1.22775,14.99137877,17.41524672,0.002298571
2020-06-29T23:00:00+07:00,1.22775,1.22926,1.22736,1.22828,24.36077981,18.45574283,0.002286429
2020-06-30T00:00:00+07:00,1.22828,1.229,1.22748,1.22854,40.08181428,26.47799095,0.00233
2020-06-30T01:00:00+07:00,1.22854,1.22935,1.22833,1.22854,50.35752145,38.26670518,0.002338571
2020-06-30T02:00:00+07:00,1.22854,1.22929,1.22814,1.22918,69.15718629,53.19884067,0.002289286
2020-06-30T03:00:00+07:00,1.22918,1.23003,1.22913,1.22976,83.16128174,67.55866316,0.002218571
2020-06-30T04:00:00+07:00,1.22976,1.23017,1.22883,1.22968,89.20491594,80.50779466,0.002113571
2020-06-30T05:00:00+07:00,1.22968,1.2312,1.22968,1.23089,87.18043604,86.51554457,0.002002857
2020-06-30T06:00:00+07:00,1.23089,1.23169,1.23047,1.2311,85.01131645,87.13222281,0.001931429
2020-06-30T07:00:00+07:00,1.2311,1.23135,1.22971,1.22998,71.15311765,81.11495671,0.00191
2020-06-30T08:00:00+07:00,1.22998,1.23098,1.22957,1.23081,64.27361371,73.47934927,0.00187
2020-06-30T09:00:00+07:00,1.23081,1.23141,1.23004,1.23018,46.07138145,60.49937094,0.001741429
2020-06-30T10:00:00+07:00,1.23018,1.23088,1.22992,1.23028,43.83164006,51.39221174,0.001617857
2020-06-30T11:00:00+07:00,1.23028,1.23074,1.22977,1.23016,31.44312278,40.44871476,0.001404286
2020-06-30T12:00:00+07:00,1.23016,1.23018,1.22852,1.22861,22.88999009,32.72158431,0.001327143
2020-06-30T13:00:00+07:00,1.22861,1.22877,1.22677,1.22735,15.89313475,23.40874921,0.001334286
2020-06-30T14:00:00+07:00,1.22735,1.22854,1.22599,1.22827,20.74665124,19.84325869,0.001407857
2020-06-30T15:00:00+07:00,1.22827,1.22935,1.22724,1.22729,28.83139597,21.82372732,0.001485714
2020-06-30T16:00:00+07:00,1.22729,1.22742,1.22578,1.22668,31.48291113,27.02031945,0.001520714
2020-06-30T17:00:00+07:00,1.22668,1.22886,1.22661,1.22693,26.67861722,28.99764144,0.001617143
2020-06-30T18:00:00+07:00,1.22693,1.22763,1.22619,1.22722,31.00118835,29.72090557,0.001624286
2020-06-30T19:00:00+07:00,1.22722,1.2289,1.22666,1.22885,52.84780579,36.84253712,0.001675714
2020-06-30T20:00:00+07:00,1.22885,1.23268,1.22791,1.23023,63.60776195,49.15225203,0.001929286
2020-06-30T21:00:00+07:00,1.23023,1.23657,1.22993,1.23566,80.57343068,65.6763328,0.002286429
2020-06-30T22:00:00+07:00,1.23566,1.23922,1.23504,1.23678,78.99995913,74.39371725,0.002484286
2020-06-30T23:00:00+07:00,1.23678,1.23842,1.23568,1.23791,87.35906249,82.31081743,0.002582143
2020-07-01T00:00:00+07:00,1.23791,1.23883,1.23714,1.23737,84.82894693,83.72932285,0.002634286
2020-07-01T01:00:00+07:00,1.23737,1.23917,1.23675,1.23909,90.60450118,87.59750353,0.002737857
2020-07-01T02:00:00+07:00,1.23909,1.23972,1.23751,1.23895,88.59681613,88.01008808,0.002777143
2020-07-01T03:00:00+07:00,1.23895,1.24017,1.23887,1.23992,92.19324189,90.46485307,0.002727143
2020-07-01T04:00:00+07:00,1.23992,1.23992,1.23918,1.23973,88.37119425,89.72041742,0.002597857
2020-07-01T05:00:00+07:00,1.23973,1.24012,1.23929,1.23937,86.05825378,88.87422997,0.002506429
2020-07-01T06:00:00+07:00,1.23937,1.23942,1.23862,1.23876,70.24505709,81.55816837,0.002446429
2020-07-01T07:00:00+07:00,1.23876,1.23883,1.23766,1.23837,50.62917364,68.97749484,0.002369286
2020-07-01T08:00:00+07:00,1.23837,1.23907,1.23772,1.23881,40.67576709,53.84999927,0.002362857
2020-07-01T09:00:00+07:00,1.23881,1.23927,1.23819,1.23822,32.59968257,41.3015411,0.00228
2020-07-01T10:00:00+07:00,1.23822,1.23881,1.23679,1.23692,24.81838697,32.69794554,0.002083571
2020-07-01T11:00:00+07:00,1.23692,1.23743,1.23595,1.23601,9.838140779,22.41873677,0.001715
2020-07-01T12:00:00+07:00,1.23601,1.23712,1.23593,1.23693,12.23010482,15.62887752,0.001501429
2020-07-01T13:00:00+07:00,1.23693,1.23871,1.23645,1.23824,33.63634177,18.56819579,0.001467143
2020-07-01T14:00:00+07:00,1.23824,1.23914,1.23719,1.23783,52.76394252,32.87679637,0.001485714
