time,open,high,low,close,EMA60,EMA100,EMA,EMA45,EMA75,ParabolicSAR
2020-05-26T18:00:00Z,107.595,107.623,107.526,107.53,107.6617862,107.6306479,107.6617777,107.6661754,107.6527832,107.6638
2020-05-26T19:00:00Z,107.53,107.554,107.472,107.473,107.6555965,107.6275262,107.6495985,107.6577765,107.6480521,107.63752
2020-05-26T20:00:00Z,107.473,107.557,107.458,107.507,107.6507245,107.6251395,107.6403986,107.651221,107.6443402,107.623
2020-05-26T21:00:00Z,107.507,107.587,107.493,107.519,107.6464057,107.6230378,107.6325664,107.6454722,107.6410418,107.6008
2020-05-26T22:00:00Z,107.519,107.545,107.484,107.504,107.6417366,107.6206806,107.6242718,107.6393213,107.6374354,107.587
2020-05-26T23:00:00Z,107.504,107.522,107.465,107.496,107.6369584,107.6182116,107.6159962,107.6330899,107.6337134,107.587
2020-05-27T00:00:00Z,107.496,107.544,107.365,107.532,107.6335171,107.6165045,107.6105771,107.6286947,107.6310368,107.5684
2020-05-27T01:00:00Z,107.532,107.616,107.476,107.498,107.6290739,107.6141579,107.6033141,107.6230123,107.6275358,107.365
2020-05-27T02:00:00Z,107.498,107.539,107.437,107.506,107.6250387,107.6120161,107.5970357,107.6179248,107.6243375,107.365
2020-05-27T03:00:00Z,107.506,107.533,107.461,107.523,107.6216932,107.6102534,107.5922592,107.6137977,107.6216707,107.37002
2020-05-27T04:00:00Z,107.523,107.567,107.46,107.468,107.6166541,107.6074365,107.5842425,107.6074586,107.6176267,107.3749396
2020-05-27T05:00:00Z,107.468,107.544,107.459,107.523,107.6135834,107.6057645,107.5802914,107.6037865,107.6151366,107.3797608
2020-05-27T06:00:00Z,107.523,107.576,107.509,107.548,107.6114332,107.6046207,107.5782081,107.601361,107.6133698,107.3844856
2020-05-27T07:00:00Z,107.548,107.565,107.474,107.526,107.6086321,107.6030638,107.5748398,107.5980844,107.6110706,107.3891159
2020-05-27T08:00:00Z,107.526,107.604,107.496,107.603,107.6084474,107.6030626,107.5766566,107.5982982,107.6108582,107.3936536
2020-05-27T09:00:00Z,107.603,107.733,107.602,107.658,107.6100721,107.6041504,107.5819046,107.6008939,107.6120988,107.3981005
2020-05-27T10:00:00Z,107.658,107.732,107.646,107.718,107.6136107,107.6064049,107.5906849,107.6059855,107.6148857,107.4114965
2020-05-27T11:00:00Z,107.718,107.83,107.711,107.812,107.6201153,107.6104761,107.6049633,107.6149426,107.6200729,107.4243566
2020-05-27T12:00:00Z,107.812,107.914,107.808,107.89,107.628964,107.6160112,107.6233528,107.6269016,107.6271762,107.4486952
2020-05-27T13:00:00Z,107.89,107.947,107.72,107.766,107.6334569,107.6189813,107.6325558,107.6329494,107.6308295,107.4859196
2020-05-27T14:00:00Z,107.766,107.846,107.684,107.835,107.6400649,107.6232589,107.6456167,107.6417342,107.6362024,107.5320276
2020-05-27T15:00:00Z,107.835,107.872,107.764,107.798,107.6452431,107.6267191,107.6554479,107.6485284,107.6404602,107.5735249
2020-05-27T16:00:00Z,107.798,107.799,107.7,107.742,107.6484155,107.6290019,107.6610319,107.6525924,107.6431323,107.6108724
2020-05-27T17:00:00Z,107.742,107.742,107.649,107.676,107.6493199,107.6299325,107.6619976,107.6536101,107.6439973,107.6444851
2020-05-27T18:00:00Z,107.676,107.739,107.653,107.704,107.6511127,107.6313992,107.6647074,107.6558009,107.6455763,107.947
2020-05-27T19:00:00Z,107.704,107.764,107.689,107.762,107.6547483,107.6339854,107.6709844,107.6604183,107.6486401,107.94112
2020-05-27T20:00:00Z,107.762,107.81,107.689,107.712,107.6566254,107.6355302,107.6736305,107.662661,107.6503074,107.9353576
2020-05-27T21:00:00Z,107.712,107.73,107.682,107.71,107.6583754,107.6370049,107.675977,107.6647192,107.6518783,107.9297104
2020-05-27T22:00:00Z,107.71,107.779,107.707,107.757,107.661609,107.639381,107.6812042,107.6687314,107.6546447,107.9241762
2020-05-27T23:00:00Z,107.757,107.821,107.737,107.81,107.6664743,107.6427596,107.6895137,107.6748735,107.658733,107.9187527
2020-05-28T00:00:00Z,107.81,107.903,107.793,107.867,107.6730489,107.6472,107.7009644,107.6832268,107.6642137,107.9134377
2020-05-28T01:00:00Z,107.867,107.872,107.758,107.789,107.6768506,107.6500079,107.7066441,107.6878257,107.6674975,107.9082289
2020-05-28T02:00:00Z,107.789,107.877,107.785,107.852,107.6825932,107.6540078,107.7160219,107.6949637,107.6723528,107.9031243
2020-05-28T03:00:00Z,107.852,107.854,107.766,107.788,107.6860491,107.6566611,107.7206656,107.6990087,107.6753962,107.8981218
2020-05-28T04:00:00Z,107.788,107.839,107.764,107.818,107.6903754,107.6598559,107.7269453,107.7041823,107.6791489,107.8932194
2020-05-28T05:00:00Z,107.818,107.869,107.804,107.848,107.6955434,107.6635815,107.7347553,107.7104352,107.6835924,107.888415
2020-05-28T06:00:00Z,107.848,107.891,107.803,107.806,107.6991649,107.6664017,107.7393517,107.7145902,107.6868136,107.653
2020-05-28T07:00:00Z,107.806,107.872,107.781,107.82,107.7031267,107.6694433,107.7445548,107.7191732,107.6903185,107.65776
2020-05-28T08:00:00Z,107.82,107.857,107.803,107.821,107.7069914,107.6724444,107.7494868,107.7236005,107.6937575,107.6624248
