,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
42,Sell win,2020-05-03T22:30:00Z,75.634,76.016,76.016,5,75.704,75.704,14,75.729,0,75.511184,2,0,Sell,win,0.393641026,0.001704074
43,Buy win,2020-05-07T01:00:00Z,75.148,75.145,75.145,12,74.821,74.821,5,75.074,0,75.345232,10,0,Buy,win,0.608740741,0.002635241
44,Buy win,2020-05-08T00:00:00Z,76.173,76.147,76.147,16,75.929,75.929,9,76.121,0,76.281724,1,0,Buy,win,0.498733945,0.002159021
45,Sell win,2020-05-12T00:30:00Z,76.448,77.05,76.849,35,76.45,76.45,55,76.866,19,76.422,33,76.422,Sell,win,0.043333333,0.00018759
46,Sell win,2020-05-13T07:30:00Z,76.084,76.829,76.324,43,76.087,76.087,22,76.368,14,75.940534,19,0,Sell,win,0.193350404,0.000837015
47,Buy win,2020-05-18T08:00:00Z,76.257,76.227,76.227,35,75.879,75.879,22,76.18,0,76.442064,8,0,Buy,win,0.531793103,0.002302135
48,Buy win,2020-05-19T08:30:00Z,77.196,77.097,77.097,17,76.868,76.868,11,77.019,0,77.238522,2,0,Buy,win,0.18568559,0.000803834
49,Sell loss,2020-05-20T07:00:00Z,77.209,77.781,77.504,33,77.216,77.216,19,77.511,11,77.183,0,77.183,Sell,loss,-0.534513274,-0.00231391
50,Buy win,2020-05-20T12:30:00Z,77.511,77.781,77.504,44,77.216,77.216,30,77.199,30,77.517,45,77.517,Buy,win,0.010619469,4.60E-05
51,Sell loss,2020-05-25T20:30:00Z,76.954,77.095,77.095,22,76.961,76.961,13,77.187,8,76.878188,0,0,Sell,loss,-1.73880597,-0.007527299
52,Buy win,2020-05-26T00:30:00Z,77.187,77.095,77.095,30,76.961,76.961,21,77.09,0,77.177812,1,0,Buy,win,0.068567164,0.000296828
53,Buy loss,2020-05-29T00:30:00Z,78.482,78.481,78.481,27,78.03,78.03,20,77.958,48,78.482,0,78.482,Buy,loss,-1.161862528,-0.005029708
54,Sell loss,2020-05-29T00:30:00Z,77.958,78.481,78.481,75,78.03,78.03,68,78.525,47,77.826,0,77.826,Sell,loss,-1.257206208,-0.005442451
55,Buy win,2020-06-01T00:00:00Z,78.525,78.481,78.481,122,78.03,78.33,115,78.133,0,78.574318,15,78.579,Buy,win,0.10935255,0.000473388
56,Buy win,2020-06-04T03:30:00Z,80.586,80.569,80.569,54,80.057,80.057,33,80.528,14,80.841,16,80.841,Buy,win,0.498046875,0.002156047
57,Sell win,2020-06-08T14:00:00Z,81.501,81.842,81.831,20,81.535,81.535,11,81.751,17,81.352072,26,0,Sell,win,0.485107492,0.002100032
58,Sell win,2020-06-10T13:30:00Z,79.958,80.547,80.547,63,80.045,80.045,57,80.411,9,79.734764,18,0,Sell,win,0.444693227,0.001925079
59,Buy loss,2020-06-17T20:00:00Z,79.639,79.443,79.443,81,78.376,78.855,41,78.841,83,79.521,0,79.521,Buy,loss,-0.747891284,-0.003237625
60,Sell win,2020-06-17T20:00:00Z,78.841,79.443,79.443,164,78.376,78.855,124,78.963,5,78.491616,11,79.521,Sell,win,0.327445173,0.001417512
61,Sell win,2020-06-18T15:00:00Z,78.56,79.1,79.1,13,78.561,78.561,27,78.908,47,78.534,50,78.534,Sell,win,0.048237477,0.00020882
62,Sell win,2020-06-24T23:30:00Z,78.432,79.268,78.839,80,78.439,78.439,25,78.771,20,78.1918,77,0,Sell,win,0.289746683,0.001254315
63,Buy win,2020-06-29T00:30:00Z,78.515,78.482,78.482,12,78.174,78.352,21,78.31,8,78.559,22,78.559,Buy,win,0.142857143,0.000618429
64,Sell win,2020-07-01T10:00:00Z,79.212,79.39,79.39,7,79.229,79.229,9,79.271,0,79.129502,1,0,Sell,win,0.512409938,0.002218225
65,Buy win,2020-07-05T22:00:00Z,79.34,79.328,79.328,32,79.184,79.184,26,79.252,0,79.416992,4,0,Buy,win,0.534666667,0.002314574
66,Sell win,2020-07-09T15:00:00Z,78.993,79.527,79.527,10,78.999,78.999,66,79.065,0,78.672696,26,0,Sell,win,0.606636364,0.002626131
67,Buy loss,2020-07-15T13:30:00Z,78.885,78.879,78.879,17,78.661,78.661,29,78.617,31,79.013724,0,0,Buy,loss,-1.229357798,-0.005321895
68,Sell loss,2020-07-15T13:30:00Z,78.617,78.879,78.879,48,78.661,78.661,60,78.916,2,78.526276,0,0,Sell,loss,-1.371559633,-0.005937488
69,Buy win,2020-07-15T14:30:00Z,78.916,78.879,78.879,50,78.661,78.661,62,78.657,0,79.013724,1,0,Buy,win,0.448275229,0.001940585
70,Sell win,2020-07-17T16:00:00Z,78.843,79.226,78.997,52,78.864,78.864,13,78.901,0,78.781806,5,0,Sell,win,0.169044199,0.000731793
71,Buy win,2020-07-22T12:00:00Z,79.71,79.683,79.683,50,79.311,79.311,30,79.621,2,79.912896,7,0,Buy,win,0.545419355,0.002361123
72,Sell win,2020-07-24T03:30:00Z,79.596,80.122,79.736,32,79.646,79.646,8,79.709,0,79.59038,7,0,Sell,win,0.011806723,5.11E-05
73,Sell win,2020-07-27T11:30:00Z,78.702,79.12,79.024,23,78.706,78.706,38,79.045,33,78.509476,48,78.507,Sell,win,0.465033816,0.002013133
74,Buy loss,2020-07-30T07:00:00Z,78.712,78.71,78.71,10,78.354,78.504,58,78.406,23,78.837308,0,0,Buy,loss,-0.859550562,-0.003720998
75,Sell win,2020-07-30T07:00:00Z,78.406,78.71,78.71,33,78.354,78.504,81,78.553,0,78.376692,2,0,Sell,win,0.082325843,0.000356389
76,Buy win,2020-08-03T13:00:00Z,79.224,79.168,79.168,26,78.707,79.105,9,79.001,3,79.206934,23,79.24,Buy,win,0.037019523,0.000160258
77,Sell win,2020-08-07T01:00:00Z,79.214,79.63,79.63,52,79.223,79.223,110,79.293,0,78.971474,5,0,Sell,win,0.595886978,0.002579597
78,Sell win,2020-08-17T23:00:00Z,80.211,80.962,80.36,102,80.258,80.258,10,80.325,0,80.194964,5,0,Sell,win,0.022778409,9.86E-05
79,Buy loss,2020-08-20T13:00:00Z,80.27,80.267,80.267,55,80.05,80.05,68,80.021,48,80.338,0,80.338,Buy,loss,-1.147465438,-0.004967383
80,Sell loss,2020-08-20T13:00:00Z,80.021,80.267,80.267,103,80.05,80.05,116,80.269,4,79.915894,0,80.338,Sell,loss,-1.142857143,-0.004947434
81,Buy loss,2020-08-21T07:30:00Z,80.269,80.267,80.267,107,80.05,80.05,120,80.034,33,80.343,0,80.343,Buy,loss,-1.082949309,-0.004688092
82,Sell win,2020-08-21T07:30:00Z,80.034,80.267,80.267,140,80.05,80.05,153,80.096,0,79.915894,1,80.343,Sell,win,0.544267281,0.002356135
83,Buy win,2020-08-25T09:30:00Z,80.481,80.461,80.461,44,80.051,80.051,32,80.429,0,80.71438,8,0,Buy,win,0.569219512,0.002464154
84,Sell loss,2020-08-28T14:00:00Z,80.395,81.554,81.412,21,80.536,80.536,76,81.436,162,80.426,0,80.426,Sell,loss,-1.02259332,-0.004426811
85,Buy loss,2020-09-08T02:30:00Z,81.436,81.554,81.412,183,80.536,81.089,238,81.079,151,81.25,0,81.25,Buy,loss,-0.350687623,-0.001518128
86,Sell win,2020-09-08T05:00:00Z,81.079,81.554,81.193,334,80.536,81.089,389,81.101,0,81.024728,5,81.25,Sell,win,0.053312377,0.00023079
87,Buy loss,2020-09-11T17:30:00Z,80.805,80.795,80.795,16,79.841,80.398,47,80.384,71,80.805,0,80.805,Buy,loss,-0.44129979,-0.001910389
88,Sell win,2020-09-11T17:30:00Z,80.384,80.795,80.631,87,79.841,80.398,118,80.648,17,80.356,32,80.356,Sell,win,0.029350105,0.000127057
89,Sell win,2020-09-16T10:30:00Z,79.798,80.419,80.26,57,79.818,79.818,21,79.873,0,79.544844,5,0,Sell,win,0.421224626,0.001823483
90,Sell win,2020-09-17T00:00:00Z,79.545,79.76,79.76,16,79.618,79.618,7,79.709,0,79.530244,1,0,Sell,win,0.103915493,0.000449851
91,Sell win,2020-09-18T12:00:00Z,79.08,79.66,79.66,27,79.096,79.096,47,79.295,14,79.08,20,79.08,Sell,win,0,0
92,Sell loss,2020-09-28T00:30:00Z,78.66,79.042,79.042,63,78.713,78.713,17,79.079,64,78.509678,0,0,Sell,loss,-1.273556231,-0.00551323
93,Buy loss,2020-09-30T03:00:00Z,79.079,79.042,79.042,127,78.713,78.798,81,78.79,37,79.079,0,79.079,Buy,loss,-0.878419453,-0.003802682
94,Sell win,2020-09-30T03:00:00Z,78.79,79.042,79.034,164,78.713,78.798,118,78.871,0,78.652152,5,79.079,Sell,win,0.418990881,0.001813813
95,Buy win,2020-10-01T05:30:00Z,79.411,79.383,79.383,8,78.615,78.871,47,78.75,48,79.699416,115,0,Buy,win,0.375541667,0.001625722
96,Sell win,2020-10-06T15:00:00Z,79.536,79.688,79.688,8,79.576,79.576,14,79.714,0,79.506784,7,0,Sell,win,0.260857143,0.001129252
97,Sell win,2020-10-14T01:00:00Z,80.113,80.5,80.326,26,80.165,80.165,47,80.347,16,80.113,23,80.113,Sell,win,0,0
98,Buy win,2020-10-16T14:00:00Z,79.818,79.809,79.809,38,79.492,79.492,19,79.74,1,79.973,17,79.973,Buy,win,0.488958991,0.002116706
99,Buy win,2020-10-19T13:00:00Z,80.068,80.041,80.041,26,79.837,79.929,33,79.954,0,80.110216,3,0,Buy,win,0.206941176,0.000895849
100,Buy win,2020-10-20T13:30:00Z,80.23,80.179,80.179,46,79.907,79.907,33,80.131,0,80.347096,2,0,Buy,win,0.4305,0.001863636
101,Sell win,2020-10-26T15:00:00Z,79.385,79.905,79.905,81,79.426,79.426,112,79.522,0,79.312,18,79.312,Sell,win,0.152400835,0.000659744
102,Buy win,2020-10-29T01:30:00Z,78.553,78.459,78.459,14,78.28,78.28,22,78.402,0,78.569622,4,0,Buy,win,0.092860335,0.000401993
103,Sell win,2020-10-29T09:00:00Z,78.243,78.6,78.6,6,78.284,78.284,24,78.342,0,78.088712,2,0,Sell,win,0.488253165,0.00211365
104,Buy win,2020-10-30T12:30:00Z,78.621,78.583,78.583,35,78.165,78.165,13,78.211,20,78.621,35,78.621,Buy,win,0,0
105,Buy win,2020-11-03T08:00:00Z,79.299,79.276,79.276,16,78.228,79.084,65,79.096,0,79.394656,2,0,Buy,win,0.091274809,0.000395129
106,Sell win,2020-11-04T02:00:00Z,79.289,79.82,79.82,6,79.346,79.346,9,79.647,2,79.053068,11,0,Sell,win,0.497746835,0.002154748
107,Sell loss,2020-11-06T03:30:00Z,78.98,79.743,79.238,67,78.986,78.986,88,79.249,21,78.98,0,78.98,Sell,loss,-0.355350066,-0.001538312
108,Buy win,2020-11-06T14:00:00Z,79.249,79.743,79.238,88,78.986,79.012,109,79.051,0,79.377668,22,78.98,Buy,win,0.169970938,0.000735805
109,Sell win,2020-11-12T01:30:00Z,80.537,81.055,81.055,66,80.594,80.594,93,80.612,0,80.309102,10,0,Sell,win,0.494355748,0.002140068
110,Sell win,2020-11-12T14:00:00Z,80.164,80.641,80.641,9,80.33,80.33,16,80.385,0,80.137802,1,0,Sell,win,0.084237942,0.000364666
111,Sell win,2020-11-13T15:00:00Z,79.632,80.056,80.056,10,79.673,79.673,19,79.795,0,79.436306,4,0,Sell,win,0.510950392,0.002211906
112,Sell loss,2020-11-16T08:30:00Z,79.7,79.815,79.813,16,79.708,79.708,9,80.194,6,79.64311,0,0,Sell,loss,-4.61682243,-0.019986244
113,Buy win,2020-11-16T11:30:00Z,80.194,79.815,79.813,22,79.708,79.708,15,79.794,0,79.87789,1,0,Buy,win,2.954299065,0.012789173
114,Sell win,2020-11-18T14:00:00Z,79.351,79.677,79.584,38,79.359,79.359,27,79.666,8,79.336,16,79.336,Sell,win,0.047169811,0.000204198
115,Buy win,2020-11-23T07:00:00Z,79.426,79.384,79.384,11,79.255,79.317,103,79.354,0,79.425406,2,0,Buy,win,0.004604651,1.99E-05
116,Sell win,2020-11-26T08:30:00Z,80.134,80.368,80.368,25,80.139,80.139,36,80.204,10,79.997478,32,0,Sell,win,0.596165939,0.002580805
117,Buy win,2020-12-01T15:00:00Z,80.683,80.594,80.594,49,80.18,80.18,35,80.532,2,80.849852,33,0,Buy,win,0.403024155,0.001744693
118,Buy win,2020-12-04T13:30:00Z,81.036,80.983,80.983,105,80.472,80.472,45,80.745,0,81.298798,3,0,Buy,win,0.5142818,0.002226328
119,Sell win,2020-12-07T08:30:00Z,81.278,81.529,81.529,19,81.31,81.31,10,81.386,6,81.174658,16,0,Sell,win,0.471881279,0.002042776
120,Sell win,2020-12-11T08:30:00Z,81.565,82.088,81.78,33,81.594,81.594,16,81.622,1,81.479052,3,0,Sell,win,0.173983806,0.000753177
121,Buy loss,2020-12-16T04:00:00Z,81.671,81.619,81.619,35,81.331,81.427,64,81.342,20,81.737656,0,0,Buy,loss,-1.142361111,-0.004945286
122,Sell win,2020-12-16T04:30:00Z,81.342,81.619,81.619,55,81.331,81.427,84,81.455,0,81.308344,1,0,Sell,win,0.116861111,0.000505892
123,Buy loss,2020-12-17T12:00:00Z,81.279,81.264,81.279,30,81.113,81.113,15,81.086,14,81.357318,0,0,Buy,loss,-1.278145695,-0.005533098
124,Sell win,2020-12-17T12:00:00Z,81.086,81.264,81.264,30,81.113,81.113,15,81.176,2,81.019682,3,0,Sell,win,0.439192053,0.001901264
125,Sell win,2020-12-22T02:30:00Z,80.408,80.59,80.59,15,80.413,80.413,48,80.438,0,80.303614,5,0,Sell,win,0.589751412,0.002553036
126,Sell win,2020-12-22T15:30:00Z,80.2,80.368,80.368,6,80.24,80.24,12,80.271,0,80.160896,1,0,Sell,win,0.3055,0.001322511
127,Buy win,2020-12-23T10:00:00Z,80.349,80.347,80.347,29,80.225,80.225,9,80.315,3,80.422396,8,0,Buy,win,0.601606557,0.002604357
128,Buy win,2020-12-28T09:00:00Z,80.725,80.682,80.682,75,80.534,80.534,68,80.65,2,80.773464,9,0,Buy,win,0.327459459,0.001417573
129,Buy loss,2021-01-05T13:30:00Z,81.037,81.027,81.027,99,80.557,80.624,52,80.568,87,80.961,0,80.961,Buy,loss,-0.99787234,-0.004319794
